full_name,census_tract,associates,bachelors,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,museums,pharmacies,population,poverty,self_income,score
"Census Tract 1, Atlantic County, New Jersey",1.0,-1.1244484411611324,-1.184470342885324,-1.1385986826799692,-0.6197798804892443,-0.5647299601952235,-0.5583503056716981,0.06785591796991775,-1.1126957986413617,-0.7639709816235629,0.3126830360618962,-0.3087890676098737,-1.1385986826799692,0.8449895940146105,-0.9417155062113451,15.123308964262758
"Census Tract 1, Essex County, New Jersey",1.0,0.07039555914039713,-0.31830962238167265,1.072694820183559,1.3963784575151963,-0.7180122782954613,-0.6917977051352431,-0.408448848167311,1.101661942827441,-0.5291399005479533,-0.1256413317509367,1.7648675978027732,1.072694820183559,1.8040834883259393,-0.4868639277926181,39.40848293580313
"Census Tract 1, Hudson County, New Jersey",1.0,1.3932585594742333,0.44790947652540347,1.1467624180950073,0.013869882883579944,0.7534979754668224,-0.398213426315444,1.1693106896622592,1.1757422745420336,-0.1821178580217012,-0.7100738221680473,0.5799209318526893,1.1467624180950073,0.48112283147983,0.2781137268206955,40.950912724251985
"Census Tract 1, Mercer County, New Jersey",1.0,-1.3122096412085156,-0.9429447573602674,-0.6544756876355755,-0.6965859124132229,-0.33480648304486665,-0.6917977051352431,-0.1554119411569082,-0.6258055025171911,-1.2974280042075006,1.3354398942918397,-0.3087890676098737,-0.6544756876355755,0.6809340594613569,-1.2621791182790847,19.169207891158695
"Census Tract 1, Middlesex County, New Jersey",1.0,2.0162843596314595,1.118351188069095,1.9937092985606986,-0.6965859124132229,5.27532635942384,-0.344834466530026,0.42508449257283926,2.0228347632784627,-0.024830529713447454,-0.417857576959492,0.28368426536516833,1.9937092985606986,0.6220423291089069,0.49520198015690614,50.42272621325012
"Census Tract 10, Bergen County, New Jersey",10.0,0.6678175592911619,2.4030174490084044,1.2465926587582636,-0.4277648006792975,0.23233809392601357,0.3757814905731173,0.43996901651462766,1.2176137663807165,1.9445608083000374,0.16657491345761857,-0.3087890676098737,1.2465926587582636,-0.597857799620415,1.3945676011212074,44.354858907842235
"Census Tract 10, Essex County, New Jersey",10.0,-0.9281526411115953,-0.9825049825755784,-0.5036568831926989,-0.46616781664128687,-0.6413711192453424,-0.6917977051352431,-0.4233333721090993,-0.7476622800477167,-0.6319816152110423,-0.1256413317509367,1.7648675978027732,-0.5036568831926989,1.3182267129182266,-1.3655544770106134,19.91480634750224
"Census Tract 10, Hudson County, New Jersey",10.0,-1.1585868411697475,-0.4827968745927026,-1.2819033829869018,-0.12054067298338277,-0.5340734965751759,-0.6651082252425341,0.2167011573878017,-1.2533410660995015,-0.20851573130420534,-0.7100738221680473,-0.3087890676098737,-1.2819033829869018,-0.29288276743808456,-1.045090864942874,13.602210843021437
"Census Tract 10, Mercer County, New Jersey",10.0,-0.5099572410060601,-1.1594849374861802,-0.9614805137612886,-0.6965859124132229,-0.07422654227446221,-0.21138706706648092,1.4818856924398154,-1.0402259089205645,-1.1511397897669569,1.3354398942918397,-1.1974990670724366,-0.9614805137612886,0.5589440465884247,-1.5102799792347539,15.903768874880111
"Census Tract 10.01, Middlesex County, New Jersey",10.01,-0.8598758410943651,-0.34121291066422116,-1.0441356592566728,-0.12054067298338277,-0.7180122782954613,-0.26476602685189893,-0.5721786115269833,-1.0155324650157005,0.06591215969516048,-0.417857576959492,2.653577597265336,-1.0441356592566728,-0.9533114578191312,-0.9934031855771095,18.35764260402717
"Census Tract 10.02, Middlesex County, New Jersey",10.02,-0.7745298410728273,1.1933074042665264,1.6222978655554652,0.6667211542373987,0.5542309619365131,1.7369449651012767,-0.2149500369240618,1.5230609312039283,0.04446388765312587,-0.417857576959492,2.653577597265336,1.6222978655554652,-0.44221536940322564,-0.1664003157248786,44.97669916984945
"Census Tract 100, Essex County, New Jersey",100.0,-0.7659952410706735,-0.7826217393824281,-0.8450118996541561,0.41710155048446806,-0.19685239675465252,-0.50497134588628,-0.5721786115269833,-0.8383838456981961,-0.6952265199503751,-0.1256413317509367,0.28368426536516833,-0.8450118996541561,-0.3728072586306953,-0.5178765354120768,18.59197609260217
"Census Tract 101, Bergen County, New Jersey",101.0,0.17281075916624253,1.1454187105848341,0.7619329419898738,-0.6965859124132229,-0.7180122782954613,0.9362605683200065,-0.12564289327333142,0.7908466380249108,0.20780072858862014,0.16657491345761857,-0.012552401122352683,0.7619329419898738,-0.7829460950138294,1.3428799217554428,37.725940780499215
"Census Tract 101, Essex County, New Jersey",101.0,-0.27098844094575414,-0.7659648024496655,-0.7119049121031477,-0.13974218096437743,-0.4880888011451045,-0.531660825778989,-0.5721786115269833,-0.6832446002958971,-0.665528912507558,-0.1256413317509367,0.28368426536516833,-0.7119049121031477,-0.06362567428033268,-1.0761034725623326,19.514842947563775
"Census Tract 101, Hudson County, New Jersey",101.0,0.07893015914255092,0.2501083504488485,0.78930574991367,0.013869882883579944,0.40094864383627526,1.1497764074616785,-0.09587384538975462,0.8182241519194342,-0.04957853591579507,-0.7100738221680473,1.7648675978027732,0.78930574991367,1.1478613501129247,0.09203808110394358,38.25782396120529
"Census Tract 101, Hunterdon County, New Jersey",101.0,0.3264335592050106,1.4660647465405128,0.7667634375058379,0.5515121063514308,-0.7180122782954613,0.42916045035853534,-0.5721786115269833,0.7956779640062973,1.7614255624026651,-1.0022900673766024,0.28368426536516833,0.7667634375058379,-0.8502509297023436,1.8080690360473228,39.43087026147407
