full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 106, Hudson County, New Jersey",106,1208,1137,238,6521,0,31,13,20,6521,322300,6521,216,14,11,
"Census Tract 106, Hunterdon County, New Jersey",106,97,1123,300,5974,6,6,76,18,5931,392600,5974,367,12,5,
"Census Tract 107, Atlantic County, New Jersey",107,667,471,204,6154,34,0,118,0,6140,193800,6154,145,21,4,
"Census Tract 107, Cumberland County, New Jersey",107,531,720,495,7648,36,93,0,44,7643,188500,7648,288,18,6,
"Census Tract 107, Essex County, New Jersey",107,619,246,214,3634,0,0,0,7,3448,213600,3634,25,18,7,
"Census Tract 107, Hudson County, New Jersey",107,876,372,124,3649,0,24,0,0,3649,320800,3649,71,14,11,
"Census Tract 107.01, Hunterdon County, New Jersey",107.01,161,1259,260,5837,58,32,47,0,4599,424000,5837,266,12,9,
"Census Tract 107.02, Hunterdon County, New Jersey",107.02,85,713,123,3250,47,0,35,10,3226,482100,3250,177,12,9,
"Census Tract 108, Atlantic County, New Jersey",108,347,332,108,3275,29,22,19,24,3046,234300,3275,106,21,5,
"Census Tract 108, Cumberland County, New Jersey",108,244,227,203,3128,81,0,11,1,3079,206900,3128,103,18,6,
"Census Tract 108, Essex County, New Jersey",108,357,129,92,1929,0,20,0,0,1910,210800,1929,41,18,2,
"Census Tract 108, Hudson County, New Jersey",108,324,387,99,3180,3,43,0,5,3175,298200,3180,44,14,11,
"Census Tract 108.01, Hunterdon County, New Jersey",108.01,197,541,108,2701,9,32,48,18,2701,367800,2701,82,12,3,
"Census Tract 108.02, Hunterdon County, New Jersey",108.02,114,360,115,1765,12,103,3,210,1765,283500,1765,49,12,1,
"Census Tract 109, Atlantic County, New Jersey",109,297,742,237,5805,25,108,20,0,5805,271100,5805,211,21,2,
"Census Tract 109, Essex County, New Jersey",109,813,123,168,2742,0,0,42,101,2742,218500,2742,11,18,7,
"Census Tract 109, Hudson County, New Jersey",109,529,219,42,1888,3,21,0,22,1888,341800,1888,56,14,11,
"Census Tract 109, Hunterdon County, New Jersey",109,35,713,194,3621,16,24,18,0,3621,266000,3621,174,12,5,
"Census Tract 11, Atlantic County, New Jersey",11,823,128,81,1896,0,10,0,0,1896,188800,1896,14,21,4,
"Census Tract 11, Essex County, New Jersey",11,526,191,115,3179,15,11,0,37,3179,228700,3179,36,18,11,
"Census Tract 11, Hudson County, New Jersey",11,625,847,151,5433,8,122,0,21,5433,277800,5433,79,14,6,
"Census Tract 11, Middlesex County, New Jersey",11,457,925,38,4689,13,266,10,164,4685,416700,4689,209,16,4,
"Census Tract 11.01, Mercer County, New Jersey",11.01,742,88,84,2211,0,28,0,100,2211,215500,2211,13,28,2,
"Census Tract 11.02, Mercer County, New Jersey",11.02,1166,116,174,4053,0,97,29,8,3930,99500,4053,121,28,2,
"Census Tract 110, Atlantic County, New Jersey",110,183,273,141,2667,0,7,22,0,2667,243700,2667,41,21,4,
"Census Tract 110, Hudson County, New Jersey",110,401,194,86,2380,0,0,0,8,2355,271900,2380,45,14,11,
"Census Tract 110.01, Hunterdon County, New Jersey",110.01,22,1129,198,6763,75,35,25,0,4571,453500,6763,212,12,4,
"Census Tract 110.02, Hunterdon County, New Jersey",110.02,168,1814,279,6556,116,100,15,34,6466,403700,6556,351,12,9,
"Census Tract 111, Atlantic County, New Jersey",111,400,227,118,3049,0,0,0,0,3049,206800,3049,95,21,5,
"Census Tract 111, Bergen County, New Jersey",111,249,570,172,4238,67,10,10,12,4238,347700,4238,84,20,2,
"Census Tract 111, Essex County, New Jersey",111,1391,220,221,3845,10,32,0,118,3837,158200,3845,95,18,6,
"Census Tract 111, Hudson County, New Jersey",111,1071,662,150,4592,0,13,0,47,4592,311900,4592,162,14,11,
"Census Tract 111, Hunterdon County, New Jersey",111,410,1012,278,5406,41,41,0,0,5406,369600,5406,238,12,5,
"Census Tract 112, Bergen County, New Jersey",112,653,620,300,4908,12,41,8,0,4908,352800,4908,133,20,6,
"Census Tract 112, Essex County, New Jersey",112,483,174,125,2961,0,17,0,0,2951,211900,2961,52,18,7,
"Census Tract 112, Hudson County, New Jersey",112,694,1112,204,6823,0,14,49,86,6823,346700,6823,68,14,11,
"Census Tract 112.01, Atlantic County, New Jersey",112.01,137,126,105,1799,12,12,6,0,1799,201200,1799,38,21,5,
"Census Tract 112.01, Hunterdon County, New Jersey",112.01,84,1579,337,7070,341,0,161,0,7070,495000,7070,469,12,9,
"Census Tract 112.02, Atlantic County, New Jersey",112.02,1319,588,298,7587,53,110,0,0,7587,181900,7587,269,21,6,
"Census Tract 112.02, Hunterdon County, New Jersey",112.02,140,762,126,3617,99,30,85,15,3617,404300,3617,163,12,9,
"Census Tract 113, Atlantic County, New Jersey",113,362,349,197,4623,28,94,22,19,4623,189800,4623,96,21,5,
"Census Tract 113, Bergen County, New Jersey",113,224,780,237,4650,7,41,0,23,4650,364100,4650,149,20,4,
"Census Tract 113, Essex County, New Jersey",113,652,241,137,3279,0,19,0,182,3274,NA,3279,31,18,4,
"Census Tract 113, Hudson County, New Jersey",113,465,452,119,2910,0,30,0,6,2910,262900,2910,100,14,11,
"Census Tract 113.01, Hunterdon County, New Jersey",113.01,184,1174,282,6605,32,0,263,0,6411,422900,6605,245,12,9,
"Census Tract 113.02, Hunterdon County, New Jersey",113.02,591,1362,506,7333,97,27,21,22,7307,414200,7333,402,12,9,
"Census Tract 113.03, Hunterdon County, New Jersey",113.03,225,882,363,4744,41,20,0,0,4744,278100,4744,270,12,9,
"Census Tract 113.04, Hunterdon County, New Jersey",113.04,201,678,173,3424,11,0,0,25,3396,467700,3424,189,12,9,
"Census Tract 114, Bergen County, New Jersey",114,663,725,240,6125,36,78,47,42,6125,377400,6125,260,20,3,
"Census Tract 114, Essex County, New Jersey",114,834,464,307,5227,0,92,0,164,5109,209500,5227,104,18,1,
"Census Tract 114, Hudson County, New Jersey",114,178,454,155,3411,0,15,19,0,3411,296500,3411,89,14,11,
"Census Tract 114, Hunterdon County, New Jersey",114,792,662,110,4688,12,77,0,68,4574,292800,4688,185,12,9,
"Census Tract 114.01, Atlantic County, New Jersey",114.01,226,579,262,4124,12,0,0,18,4116,228000,4124,212,21,1,
"Census Tract 114.03, Atlantic County, New Jersey",114.03,389,747,341,5499,25,445,10,213,5486,158200,5499,212,21,1,
"Census Tract 114.04, Atlantic County, New Jersey",114.04,1627,906,601,10654,45,184,26,58,9588,189800,10654,204,21,6,
"Census Tract 115, Atlantic County, New Jersey",115,719,708,368,6407,0,0,11,77,6407,190200,6407,148,21,5,
"Census Tract 115, Essex County, New Jersey",115,394,92,117,2530,27,89,0,0,2530,209900,2530,45,18,4,
"Census Tract 115, Hudson County, New Jersey",115,363,421,87,3392,0,35,8,0,3392,309200,3392,6,14,11,
"Census Tract 115, Hunterdon County, New Jersey",115,165,855,279,5315,93,23,108,7,5300,358100,5315,552,12,9,
"Census Tract 116, Atlantic County, New Jersey",116,400,547,226,4995,24,29,72,17,4970,189200,4995,232,21,2,
