full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 1, Atlantic County, New Jersey",1,875,135,63,2323,4,10,5,43,2318,187500,2323,55,21,4,
"Census Tract 1, Essex County, New Jersey",1,1331,551,203,6443,109,0,0,11,6443,230200,6443,99,18,11,
"Census Tract 1, Hudson County, New Jersey",1,702,919,358,6581,37,96,11,117,6581,293300,6581,173,14,7,
"Census Tract 1, Mercer County, New Jersey",1,797,251,41,3225,0,25,0,28,3225,90500,3225,24,28,4,
"Census Tract 1, Middlesex County, New Jersey",1,769,1241,431,8159,0,391,13,67,8159,321900,8159,194,16,6,
"Census Tract 10, Bergen County, New Jersey",10,189,1858,273,6767,14,62,40,68,6659,680000,6767,281,20,4,
"Census Tract 10, Essex County, New Jersey",10,1100,232,86,3506,12,5,0,10,2998,211500,3506,14,18,11,
"Census Tract 10, Hudson County, New Jersey",10,334,472,59,2056,30,12,1,53,2056,288500,2056,45,14,4,
"Census Tract 10, Mercer County, New Jersey",10,739,147,135,2653,0,42,18,138,2453,117100,2653,0,28,1,
"Census Tract 10.01, Middlesex County, New Jersey",10.01,20,540,94,2499,30,0,16,0,2499,338400,2499,50,16,14,
"Census Tract 10.02, Middlesex County, New Jersey",10.02,263,1277,104,7467,71,83,91,24,7228,334500,7467,130,16,14,
"Census Tract 100, Essex County, New Jersey",100,296,328,105,2870,58,34,7,0,2829,2.00E+05,2870,96,18,6,
"Census Tract 101, Bergen County, New Jersey",101,101,1254,215,5864,0,0,61,30,5864,364200,5864,276,20,5,
"Census Tract 101, Essex County, New Jersey",101,443,336,163,3118,29,15,6,0,3118,205400,3118,42,18,6,
"Census Tract 101, Hudson County, New Jersey",101,1019,824,204,5915,37,73,69,32,5915,317400,5915,155,14,11,
"Census Tract 101, Hunterdon County, New Jersey",101,69,1408,233,5873,65,0,42,0,5873,646700,5873,321,12,6,
"Census Tract 101.01, Atlantic County, New Jersey",101.01,131,585,204,3120,21,0,19,57,3120,335300,3120,104,21,2,
"Census Tract 101.01, Cumberland County, New Jersey",101.01,89,232,116,3066,9,5,16,0,2771,167900,3066,30,18,3,
"Census Tract 101.02, Atlantic County, New Jersey",101.02,248,388,94,1918,36,30,68,63,1918,414800,1918,49,21,2,
"Census Tract 101.03, Cumberland County, New Jersey",101.03,0,43,195,5011,0,0,0,0,0,NA,5011,0,18,5,
"Census Tract 101.04, Atlantic County, New Jersey",101.04,141,308,158,1501,11,13,42,36,1501,320800,1501,88,21,2,
"Census Tract 101.05, Atlantic County, New Jersey",101.05,471,576,120,2700,0,19,0,16,2700,317200,2700,70,21,2,
"Census Tract 102, Atlantic County, New Jersey",102,232,954,418,5957,0,0,47,0,5823,200900,5957,123,21,6,
"Census Tract 102, Bergen County, New Jersey",102,277,750,154,4275,12,0,33,42,4275,348600,4275,205,20,5,
"Census Tract 102, Cumberland County, New Jersey",102,1278,144,132,5105,18,21,8,53,5105,121000,5105,45,18,3,
"Census Tract 102, Essex County, New Jersey",102,276,468,302,4770,10,79,0,83,4574,223000,4770,109,18,6,
"Census Tract 102, Hudson County, New Jersey",102,345,509,24,2832,0,4,29,13,2832,320100,2832,80,14,11,
"Census Tract 102, Hunterdon County, New Jersey",102,173,1548,375,7499,33,17,99,0,7436,355700,7499,452,12,7,
"Census Tract 103, Atlantic County, New Jersey",103,275,202,169,2481,7,0,5,5,2481,177300,2481,101,21,6,
"Census Tract 103, Bergen County, New Jersey",103,269,1595,309,7649,0,0,80,0,7649,356700,7649,213,20,5,
"Census Tract 103, Essex County, New Jersey",103,723,239,250,3816,46,0,0,28,3605,216900,3816,83,18,6,
"Census Tract 103, Hudson County, New Jersey",103,826,507,16,3171,0,0,36,0,3171,267000,3171,46,14,16,
"Census Tract 103, Hunterdon County, New Jersey",103,180,532,153,2892,51,80,6,15,2855,210600,2892,133,12,7,
"Census Tract 103.01, Cumberland County, New Jersey",103.01,593,188,190,3241,4,0,15,0,3241,179100,3241,76,18,6,
"Census Tract 103.02, Cumberland County, New Jersey",103.02,128,74,66,1209,16,5,0,0,1209,151300,1209,44,18,6,
"Census Tract 104, Essex County, New Jersey",104,674,491,170,4452,0,68,14,86,4452,257800,4452,58,18,1,
"Census Tract 104, Hudson County, New Jersey",104,416,904,146,4490,17,89,0,141,4490,319800,4490,79,14,11,
"Census Tract 104, Hunterdon County, New Jersey",104,250,999,361,4691,36,37,19,1,4691,372900,4691,240,12,5,
"Census Tract 104.01, Atlantic County, New Jersey",104.01,147,836,358,5535,39,101,0,349,5493,250700,5535,255,21,7,
"Census Tract 104.01, Cumberland County, New Jersey",104.01,696,274,179,5110,18,32,33,17,5095,150400,5110,150,18,6,
"Census Tract 104.02, Cumberland County, New Jersey",104.02,0,15,20,1275,0,0,0,0,0,NA,1275,0,18,2,
"Census Tract 104.03, Atlantic County, New Jersey",104.03,910,1026,221,7266,0,275,23,0,6832,214500,7266,138,21,2,
"Census Tract 105, Cumberland County, New Jersey",105,113,205,135,1703,17,9,4,0,1703,198200,1703,75,18,6,
"Census Tract 105, Essex County, New Jersey",105,1129,294,158,4746,0,48,0,98,4729,217600,4746,52,18,6,
"Census Tract 105, Hudson County, New Jersey",105,541,960,203,5175,53,0,0,71,5175,369500,5175,119,14,11,
"Census Tract 105, Hunterdon County, New Jersey",105,252,827,235,5196,0,0,45,0,5196,338100,5196,297,12,1,
"Census Tract 105.01, Atlantic County, New Jersey",105.01,413,935,578,7084,89,22,31,249,7064,223800,7084,276,21,1,
"Census Tract 105.03, Atlantic County, New Jersey",105.03,1104,858,522,8043,65,188,113,81,8043,181300,8043,217,21,2,
"Census Tract 105.05, Atlantic County, New Jersey",105.05,155,261,109,2543,0,0,29,0,2528,215400,2543,89,21,2,
"Census Tract 105.06, Atlantic County, New Jersey",105.06,424,712,305,5334,82,0,66,0,5323,219100,5334,230,21,6,
"Census Tract 106, Atlantic County, New Jersey",106,735,236,159,4243,0,100,0,0,4202,153900,4243,147,21,7,
"Census Tract 106, Cumberland County, New Jersey",106,346,504,269,4867,16,0,10,2,4636,177800,4867,107,18,6,
"Census Tract 106, Essex County, New Jersey",106,1187,336,236,4426,11,51,0,45,4426,219700,4426,66,18,6,
"Census Tract 106, Hudson County, New Jersey",106,1091,1213,277,6881,0,40,12,20,6881,307500,6881,222,14,11,
"Census Tract 106, Hunterdon County, New Jersey",106,130,1093,225,6097,61,7,29,19,6050,403800,6097,346,12,5,
"Census Tract 107, Atlantic County, New Jersey",107,517,665,263,6122,0,0,104,0,6105,208200,6122,182,21,4,
"Census Tract 107, Cumberland County, New Jersey",107,900,839,411,7565,0,38,12,215,7558,207500,7565,168,18,6,
"Census Tract 107, Essex County, New Jersey",107,566,248,173,3075,0,0,0,22,2908,194500,3075,17,18,7,
"Census Tract 107, Hudson County, New Jersey",107,541,458,142,3839,0,26,0,0,3839,328900,3839,115,14,11,
"Census Tract 107.01, Hunterdon County, New Jersey",107.01,105,1346,209,5706,96,68,129,0,4817,394000,5706,216,12,9,
"Census Tract 107.02, Hunterdon County, New Jersey",107.02,82,714,151,3231,32,0,30,14,3198,468900,3231,178,12,9,
"Census Tract 108, Atlantic County, New Jersey",108,372,357,87,3209,72,141,14,26,2918,224000,3209,80,21,5,
"Census Tract 108, Cumberland County, New Jersey",108,367,240,228,3108,97,0,16,6,3045,190600,3108,98,18,6,
"Census Tract 108, Essex County, New Jersey",108,258,171,113,2474,0,20,9,109,2445,213200,2474,54,18,2,
"Census Tract 108, Hudson County, New Jersey",108,468,246,123,3146,3,40,0,4,3146,330600,3146,34,14,11,
"Census Tract 108.01, Hunterdon County, New Jersey",108.01,200,636,98,2679,10,31,26,38,2679,352100,2679,94,12,3,
"Census Tract 108.02, Hunterdon County, New Jersey",108.02,147,375,82,1693,25,62,10,89,1693,258600,1693,51,12,1,
"Census Tract 109, Atlantic County, New Jersey",109,619,824,301,5943,0,33,0,0,5943,252000,5943,215,21,2,
"Census Tract 109, Essex County, New Jersey",109,580,121,62,2493,0,21,30,28,2493,248800,2493,0,18,7,
"Census Tract 109, Hudson County, New Jersey",109,602,274,42,2149,3,7,0,27,2147,322400,2149,71,14,11,
"Census Tract 109, Hunterdon County, New Jersey",109,143,677,176,3564,73,33,9,10,3564,240000,3564,213,12,5,
