"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","pharmacy","score"
"Census Tract 106, Atlantic County, New Jersey","106",841,227,212,4279,12,0,17,38,4225,191900,4279,67,NA,NA,NA
"Census Tract 106, Cumberland County, New Jersey","106",283,521,370,5190,0,0,52,41,5024,189100,5190,308,NA,NA,NA
"Census Tract 106, Essex County, New Jersey","106",1501,179,164,4160,0,56,0,107,4160,164100,4160,115,NA,NA,NA
"Census Tract 106, Hudson County, New Jersey","106",1277,957,287,6343,0,27,13,0,6343,344500,6343,190,NA,NA,NA
"Census Tract 106, Hunterdon County, New Jersey","106",72,1136,432,6066,63,0,115,30,6030,418900,6066,439,NA,NA,NA
"Census Tract 107, Atlantic County, New Jersey","107",550,496,192,6154,44,0,103,0,6141,232300,6154,222,NA,NA,NA
"Census Tract 107, Cumberland County, New Jersey","107",595,554,411,7697,36,71,12,0,7694,187200,7697,312,NA,NA,NA
"Census Tract 107, Essex County, New Jersey","107",363,276,286,3770,0,38,0,57,3579,271800,3770,54,NA,NA,NA
"Census Tract 107, Hudson County, New Jersey","107",578,495,15,3558,0,14,0,8,3558,340700,3558,121,NA,NA,NA
"Census Tract 107.01, Hunterdon County, New Jersey","107.01",174,1153,288,5884,87,32,27,0,4488,441500,5884,295,NA,NA,NA
"Census Tract 107.02, Hunterdon County, New Jersey","107.02",45,651,135,3161,91,0,37,0,3151,5e+05,3161,166,NA,NA,NA
"Census Tract 108, Atlantic County, New Jersey","108",392,298,178,3045,49,22,0,25,2825,250900,3045,121,NA,NA,NA
"Census Tract 108, Cumberland County, New Jersey","108",190,252,139,3111,74,0,0,0,3087,210200,3111,86,NA,NA,NA
"Census Tract 108, Essex County, New Jersey","108",387,57,119,2041,0,19,0,0,2034,206000,2041,16,NA,NA,NA
"Census Tract 108, Hudson County, New Jersey","108",209,379,75,3210,0,0,0,28,3194,327200,3210,66,NA,NA,NA
"Census Tract 108.01, Hunterdon County, New Jersey","108.01",137,500,125,2710,32,18,52,8,2710,369600,2710,98,NA,NA,NA
"Census Tract 108.02, Hunterdon County, New Jersey","108.02",85,292,102,1616,17,88,0,207,1616,312000,1616,61,NA,NA,NA
"Census Tract 109, Atlantic County, New Jersey","109",383,872,308,6046,23,149,15,0,6036,265300,6046,101,NA,NA,NA
"Census Tract 109, Essex County, New Jersey","109",699,88,295,3027,29,0,16,88,3027,254900,3027,48,NA,NA,NA
"Census Tract 109, Hudson County, New Jersey","109",554,179,98,1826,8,26,0,31,1826,337000,1826,104,NA,NA,NA
"Census Tract 109, Hunterdon County, New Jersey","109",36,602,169,3644,89,14,46,37,3644,295100,3644,156,NA,NA,NA
"Census Tract 11, Atlantic County, New Jersey","11",585,192,58,1942,0,13,0,0,1942,203700,1942,29,NA,NA,NA
"Census Tract 11, Essex County, New Jersey","11",465,103,59,3103,12,18,0,23,3103,287100,3103,53,NA,NA,NA
"Census Tract 11, Hudson County, New Jersey","11",416,711,235,5496,0,133,0,129,5496,324000,5496,38,NA,NA,NA
