"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","score"
"Census Tract 20, Middlesex County, New Jersey","20",55,976,224,4008,30,50,40,34,4008,365800,4008,164,NA,NA
"Census Tract 200, Essex County, New Jersey","200",66,1084,30,5856,31,20,108,0,5856,1507100,5856,355,NA,NA
"Census Tract 200, Hudson County, New Jersey","200",504,832,89,4995,10,27,34,19,4520,433600,4995,106,NA,NA
"Census Tract 201, Bergen County, New Jersey","201",63,1004,169,4060,11,0,39,83,4060,756600,4060,254,NA,NA
"Census Tract 201, Cumberland County, New Jersey","201",476,30,55,1096,0,26,0,0,1096,63600,1096,20,NA,NA
"Census Tract 201, Essex County, New Jersey","201",54,1156,16,4902,9,52,9,23,4902,1547600,4902,328,NA,NA
"Census Tract 201, Hudson County, New Jersey","201",249,606,149,2279,0,99,0,206,2279,NA,2279,65,NA,NA
"Census Tract 201, Salem County, New Jersey","201",165,251,139,1727,45,17,0,15,1727,228700,1727,78,NA,NA
"Census Tract 201.01, Cape May County, New Jersey","201.01",519,660,239,3936,51,84,41,8,3936,483400,3936,201,NA,NA
"Census Tract 201.02, Cape May County, New Jersey","201.02",113,447,88,2160,40,70,34,22,2160,505800,2160,71,NA,NA
"Census Tract 202, Bergen County, New Jersey","202",71,1929,133,6823,70,0,41,0,6823,1071200,6823,601,NA,NA
"Census Tract 202, Cumberland County, New Jersey","202",1473,97,138,3129,0,16,0,29,2885,NA,3129,13,NA,NA
"Census Tract 202, Essex County, New Jersey","202",62,1176,95,4928,49,8,38,45,4928,782500,4928,276,NA,NA
"Census Tract 202, Salem County, New Jersey","202",533,23,95,2057,11,89,0,0,2057,122600,2057,10,NA,NA
"Census Tract 202.01, Cape May County, New Jersey","202.01",61,506,50,1453,30,7,3,23,1453,798300,1453,104,NA,NA
"Census Tract 202.03, Cape May County, New Jersey","202.03",133,611,140,2094,72,67,39,7,1923,726000,2094,83,NA,NA
"Census Tract 202.05, Cape May County, New Jersey","202.05",20,228,42,700,27,9,0,4,700,551000,700,34,NA,NA
"Census Tract 202.06, Cape May County, New Jersey","202.06",41,229,62,859,24,3,25,0,859,493800,859,39,NA,NA
"Census Tract 203, Cumberland County, New Jersey","203",1867,50,178,6412,2,31,13,4,6412,77500,6412,90,NA,NA
"Census Tract 203, Essex County, New Jersey","203",397,961,187,4493,13,54,6,111,4493,876800,4493,217,NA,NA
"Census Tract 203, Salem County, New Jersey","203",1043,140,108,2790,0,10,41,12,2790,136300,2790,59,NA,NA
"Census Tract 203.01, Cape May County, New Jersey","203.01",164,892,268,4484,82,10,53,0,4484,290100,4484,207,NA,NA
"Census Tract 203.02, Cape May County, New Jersey","203.02",228,1042,320,4485,134,0,81,0,4485,316000,4485,224,NA,NA
"Census Tract 2036, Passaic County, New Jersey","2036",1144,471,176,5861,73,0,0,0,5840,263000,5861,93,NA,NA
"Census Tract 204, Cape May County, New Jersey","204",139,392,198,2940,23,0,4,0,2932,305000,2940,175,NA,NA
"Census Tract 204, Cumberland County, New Jersey","204",891,81,101,3278,28,11,0,0,3278,117000,3278,49,NA,NA
"Census Tract 204, Essex County, New Jersey","204",68,1514,166,5346,178,39,0,0,5346,615200,5346,260,NA,NA
"Census Tract 204, Salem County, New Jersey","204",217,162,146,2785,16,30,0,15,2621,164300,2785,30,NA,NA
"Census Tract 205, Cape May County, New Jersey","205",690,74,70,2490,30,44,0,23,2490,161100,2490,39,NA,NA
"Census Tract 205, Essex County, New Jersey","205",154,1728,257,7664,47,0,133,13,7664,628700,7664,270,NA,NA
"Census Tract 205, Salem County, New Jersey","205",287,281,237,2517,60,8,0,0,2455,159200,2517,65,NA,NA
"Census Tract 205.02, Cumberland County, New Jersey","205.02",0,12,46,1653,0,0,0,0,0,NA,1653,0,NA,NA
"Census Tract 205.03, Cumberland County, New Jersey","205.03",1829,86,85,5359,0,27,3,128,3631,84200,5359,16,NA,NA
"Census Tract 206, Cape May County, New Jersey","206",259,256,142,2203,0,65,5,0,2179,247700,2203,94,NA,NA
"Census Tract 206, Cumberland County, New Jersey","206",425,223,202,3914,73,14,9,0,3914,112500,3914,30,NA,NA
"Census Tract 206, Essex County, New Jersey","206",74,1098,114,4935,20,18,50,0,4852,685700,4935,287,NA,NA
"Census Tract 206, Salem County, New Jersey","206",286,162,172,2485,16,0,0,7,2335,134100,2485,35,NA,NA
"Census Tract 207, Cape May County, New Jersey","207",572,576,151,4041,81,0,24,0,3925,263000,4041,174,NA,NA
"Census Tract 207, Essex County, New Jersey","207",122,979,136,4254,37,0,101,0,4254,526600,4254,172,NA,NA
"Census Tract 207, Salem County, New Jersey","207",374,717,287,4030,15,93,29,0,3974,287900,4030,140,NA,NA
"Census Tract 208, Cape May County, New Jersey","208",170,419,106,1955,93,0,65,16,1955,663000,1955,111,NA,NA
"Census Tract 208, Essex County, New Jersey","208",243,1965,257,7499,71,0,20,12,7286,641300,7499,428,NA,NA
"Census Tract 208, Salem County, New Jersey","208",435,614,181,3473,39,71,100,66,3473,239500,3473,124,NA,NA
"Census Tract 209, Salem County, New Jersey","209",288,475,249,3381,62,30,30,71,3317,252000,3381,178,NA,NA
"Census Tract 209.01, Cape May County, New Jersey","209.01",36,296,42,955,24,0,55,2,952,1182700,955,51,NA,NA
"Census Tract 209.01, Essex County, New Jersey","209.01",34,618,20,2205,11,4,12,27,2205,826800,2205,108,NA,NA
"Census Tract 209.02, Cape May County, New Jersey","209.02",79,406,57,1409,35,0,102,11,1406,1158700,1409,65,NA,NA
"Census Tract 209.02, Essex County, New Jersey","209.02",178,1598,163,5849,211,92,12,0,5849,500800,5849,284,NA,NA
"Census Tract 21, Bergen County, New Jersey","21",170,495,34,1513,0,0,7,0,1513,2000001,1513,58,NA,NA
"Census Tract 21, Essex County, New Jersey","21",851,293,153,3267,11,0,12,22,3267,225700,3267,19,NA,NA
"Census Tract 21, Mercer County, New Jersey","21",1109,91,58,4577,0,115,0,90,4577,88200,4577,23,NA,NA
"Census Tract 21.01, Middlesex County, New Jersey","21.01",61,495,89,2193,51,15,45,14,2193,552200,2193,95,NA,NA
"Census Tract 21.02, Middlesex County, New Jersey","21.02",36,806,230,3923,15,46,23,11,3923,478100,3923,112,NA,NA
"Census Tract 210, Essex County, New Jersey","210",95,1576,138,5176,13,210,0,0,5176,480100,5176,408,NA,NA
"Census Tract 210, Salem County, New Jersey","210",162,144,85,1445,35,84,0,12,1445,195500,1445,20,NA,NA
"Census Tract 210.01, Cape May County, New Jersey","210.01",27,288,231,2199,24,0,72,0,1736,322200,2199,76,NA,NA
"Census Tract 210.02, Cape May County, New Jersey","210.02",380,495,216,3539,0,0,83,0,3539,284100,3539,187,NA,NA
"Census Tract 211, Bergen County, New Jersey","211",1041,1002,342,6734,0,33,17,91,6712,366800,6734,291,NA,NA
"Census Tract 211, Cape May County, New Jersey","211",389,866,272,4787,0,13,41,75,4566,259600,4787,242,NA,NA
"Census Tract 211, Essex County, New Jersey","211",124,1129,213,4506,31,0,16,26,4506,388000,4506,226,NA,NA
"Census Tract 211.01, Salem County, New Jersey","211.01",157,722,392,4808,47,0,33,0,4735,209800,4808,196,NA,NA
"Census Tract 211.02, Salem County, New Jersey","211.02",277,571,225,4132,195,185,66,0,4055,204500,4132,115,NA,NA
"Census Tract 212, Bergen County, New Jersey","212",576,670,232,5711,0,56,0,36,5711,335400,5711,259,NA,NA
"Census Tract 212, Essex County, New Jersey","212",199,869,111,3731,45,7,20,0,3731,521200,3731,297,NA,NA
"Census Tract 212.01, Salem County, New Jersey","212.01",150,318,273,3261,9,24,30,0,3174,215800,3261,181,NA,NA
"Census Tract 212.02, Salem County, New Jersey","212.02",127,199,152,2365,14,0,0,0,2365,179400,2365,65,NA,NA
"Census Tract 213, Bergen County, New Jersey","213",637,441,163,4443,0,0,0,0,4443,320700,4443,93,NA,NA
"Census Tract 213, Cape May County, New Jersey","213",340,536,339,3849,173,15,30,0,3849,359900,3849,187,NA,NA
"Census Tract 213, Essex County, New Jersey","213",156,1256,191,6017,88,19,15,0,5572,469200,6017,378,NA,NA
"Census Tract 213, Salem County, New Jersey","213",156,213,103,1851,0,0,21,9,1422,232900,1851,85,NA,NA
"Census Tract 214, Bergen County, New Jersey","214",972,447,251,5032,27,32,0,6,5032,342800,5032,181,NA,NA
"Census Tract 214, Cape May County, New Jersey","214",989,303,237,3707,53,145,159,87,3707,248000,3707,123,NA,NA
"Census Tract 214, Essex County, New Jersey","214",92,1804,272,6514,0,93,0,19,6147,462200,6514,235,NA,NA
"Census Tract 214, Salem County, New Jersey","214",342,268,163,3293,14,0,46,31,3293,151800,3293,50,NA,NA
"Census Tract 215, Bergen County, New Jersey","215",1168,400,205,5092,0,50,0,29,5092,314100,5092,120,NA,NA
"Census Tract 215, Cape May County, New Jersey","215",294,131,104,1742,31,0,13,16,1742,217800,1742,69,NA,NA
"Census Tract 215, Salem County, New Jersey","215",144,186,231,1946,0,0,39,0,1946,152700,1946,14,NA,NA
"Census Tract 216, Bergen County, New Jersey","216",838,264,161,4566,0,48,0,58,4566,304600,4566,94,NA,NA
"Census Tract 216, Cape May County, New Jersey","216",166,606,213,3131,29,0,104,81,3131,397100,3131,141,NA,NA
"Census Tract 216, Salem County, New Jersey","216",654,242,651,5467,0,26,14,0,5467,156500,5467,83,NA,NA
"Census Tract 216.01, Essex County, New Jersey","216.01",69,1818,380,7400,20,57,77,42,7400,475100,7400,367,NA,NA
"Census Tract 216.02, Essex County, New Jersey","216.02",119,1849,165,6621,15,0,43,8,6621,722400,6621,222,NA,NA
"Census Tract 2167.01, Passaic County, New Jersey","2167.01",95,1349,325,6655,44,57,47,0,6580,361400,6655,300,NA,NA
"Census Tract 2167.02, Passaic County, New Jersey","2167.02",103,1187,269,5621,157,22,0,0,5621,325500,5621,171,NA,NA
"Census Tract 217, Salem County, New Jersey","217",137,226,123,1937,0,0,16,71,1930,168500,1937,74,NA,NA
"Census Tract 217.01, Cape May County, New Jersey","217.01",149,421,187,2688,26,0,0,18,2560,296300,2688,126,NA,NA
"Census Tract 217.01, Essex County, New Jersey","217.01",262,922,182,3621,25,34,69,20,3621,448000,3621,139,NA,NA
"Census Tract 217.02, Cape May County, New Jersey","217.02",135,299,161,2407,32,0,33,0,2393,334700,2407,154,NA,NA
"Census Tract 217.02, Essex County, New Jersey","217.02",325,1172,82,4350,43,175,49,0,4297,478600,4350,146,NA,NA
"Census Tract 218.01, Essex County, New Jersey","218.01",113,673,115,2730,14,0,5,0,2730,517700,2730,110,NA,NA
"Census Tract 218.02, Essex County, New Jersey","218.02",33,790,112,3500,0,0,11,0,3286,492400,3500,130,NA,NA
"Census Tract 218.03, Cape May County, New Jersey","218.03",462,364,144,3022,30,52,48,9,3022,174900,3022,31,NA,NA
"Census Tract 218.03, Essex County, New Jersey","218.03",58,1162,107,4613,61,47,10,8,4613,484800,4613,170,NA,NA
"Census Tract 218.04, Cape May County, New Jersey","218.04",1135,451,270,5761,42,0,101,24,5740,178000,5761,198,NA,NA
"Census Tract 218.05, Cape May County, New Jersey","218.05",446,546,267,4302,19,10,57,36,4274,249200,4302,139,NA,NA
"Census Tract 218.06, Cape May County, New Jersey","218.06",130,282,124,2710,57,159,52,17,2710,225600,2710,115,NA,NA
"Census Tract 219, Cape May County, New Jersey","219",208,432,150,2239,13,17,2,51,2227,495600,2239,127,NA,NA
"Census Tract 219, Salem County, New Jersey","219",568,66,87,1585,8,61,0,4,1585,85700,1585,15,NA,NA
"Census Tract 22, Bergen County, New Jersey","22",332,1534,216,5412,40,104,0,4,5066,466600,5412,249,NA,NA
"Census Tract 22, Hudson County, New Jersey","22",104,643,26,1681,11,36,13,116,1681,674000,1681,106,NA,NA
"Census Tract 22, Mercer County, New Jersey","22",874,106,104,5601,9,0,0,128,5601,81800,5601,27,NA,NA
"Census Tract 22, Middlesex County, New Jersey","22",69,812,246,3734,0,107,31,6,3734,355900,3734,72,NA,NA
"Census Tract 22.01, Essex County, New Jersey","22.01",2663,758,372,9360,0,101,0,205,9360,149100,9360,177,NA,NA
"Census Tract 22.02, Essex County, New Jersey","22.02",378,238,120,3327,18,0,8,0,3327,209900,3327,52,NA,NA
"Census Tract 220, Cape May County, New Jersey","220",190,791,193,3491,9,8,191,183,2733,658400,3491,94,NA,NA
"Census Tract 220, Salem County, New Jersey","220",1010,49,48,1927,48,0,9,68,1927,72200,1927,39,NA,NA
"Census Tract 221, Bergen County, New Jersey","221",111,1004,100,3905,63,0,113,0,3898,634200,3905,177,NA,NA
"Census Tract 221, Salem County, New Jersey","221",404,52,58,1299,0,7,0,0,1299,93100,1299,13,NA,NA
"Census Tract 221.01, Cape May County, New Jersey","221.01",279,120,56,1667,7,0,76,0,1633,184700,1667,39,NA,NA
"Census Tract 221.02, Cape May County, New Jersey","221.02",1197,442,248,6300,0,24,32,0,6255,213300,6300,185,NA,NA
"Census Tract 222, Bergen County, New Jersey","222",256,2086,319,7921,335,40,88,0,7921,630900,7921,241,NA,NA
"Census Tract 222.01, Salem County, New Jersey","222.01",52,119,164,1715,0,0,0,8,1715,234400,1715,67,NA,NA
"Census Tract 222.02, Salem County, New Jersey","222.02",99,118,87,1060,24,3,10,3,1060,224100,1060,36,NA,NA
"Census Tract 2238.01, Passaic County, New Jersey","2238.01",155,342,134,2799,72,62,16,0,2799,341000,2799,60,NA,NA
"Census Tract 2238.02, Passaic County, New Jersey","2238.02",276,1585,484,7795,61,16,0,0,7649,413500,7795,339,NA,NA
"Census Tract 2239, Passaic County, New Jersey","2239",104,5,0,234,0,0,0,0,234,NA,234,0,NA,NA
"Census Tract 227, Essex County, New Jersey","227",1122,247,78,2700,18,133,0,52,2700,NA,2700,70,NA,NA
"Census Tract 228, Essex County, New Jersey","228",973,108,105,2187,0,0,0,0,2187,NA,2187,25,NA,NA
"Census Tract 229, Essex County, New Jersey","229",1300,426,49,4313,0,151,0,84,4313,163800,4313,96,NA,NA
"Census Tract 23, Atlantic County, New Jersey","23",1217,166,146,2469,0,52,0,24,2469,117200,2469,23,NA,NA
"Census Tract 23, Bergen County, New Jersey","23",225,1406,321,5819,24,32,11,0,5622,631000,5819,254,NA,NA
"Census Tract 23, Essex County, New Jersey","23",929,553,262,5076,0,0,0,6,5076,190300,5076,61,NA,NA
"Census Tract 23, Hudson County, New Jersey","23",141,723,67,2414,21,212,69,99,2414,597000,2414,119,NA,NA
"Census Tract 23.01, Middlesex County, New Jersey","23.01",1,703,80,3866,45,50,0,0,3866,355100,3866,130,NA,NA
"Census Tract 23.02, Middlesex County, New Jersey","23.02",88,517,149,3543,27,0,0,0,3543,365000,3543,128,NA,NA
"Census Tract 230, Essex County, New Jersey","230",1579,105,52,2725,0,14,0,4,2585,181600,2725,171,NA,NA
"Census Tract 231, Bergen County, New Jersey","231",862,647,176,3234,0,432,0,87,3234,188900,3234,20,NA,NA
"Census Tract 231, Essex County, New Jersey","231",736,188,73,2579,0,41,0,0,2579,262800,2579,4,NA,NA
"Census Tract 232, Bergen County, New Jersey","232",788,1495,313,6641,39,89,46,216,6641,316100,6641,273,NA,NA
"Census Tract 232, Essex County, New Jersey","232",1208,75,131,2991,54,88,0,0,2991,258700,2991,67,NA,NA
"Census Tract 233.01, Bergen County, New Jersey","233.01",2,497,154,2967,15,0,51,0,2967,359700,2967,139,NA,NA
"Census Tract 233.02, Bergen County, New Jersey","233.02",320,1259,538,5430,31,165,0,55,5430,216000,5430,203,NA,NA
"Census Tract 234.01, Bergen County, New Jersey","234.01",681,847,116,3872,0,80,8,208,3872,170300,3872,95,NA,NA
"Census Tract 234.02, Bergen County, New Jersey","234.02",858,1051,289,5929,40,214,14,88,5799,341500,5929,52,NA,NA
"Census Tract 235.01, Bergen County, New Jersey","235.01",367,587,167,3744,50,0,27,0,3529,247300,3744,103,NA,NA
"Census Tract 235.02, Bergen County, New Jersey","235.02",482,841,62,4759,0,60,11,76,4759,214300,4759,288,NA,NA
"Census Tract 236.01, Bergen County, New Jersey","236.01",302,440,83,2741,0,12,0,10,2741,289700,2741,82,NA,NA
"Census Tract 236.02, Bergen County, New Jersey","236.02",905,415,143,5064,0,23,28,0,4299,297200,5064,37,NA,NA
"Census Tract 2366.01, Passaic County, New Jersey","2366.01",353,703,157,4681,76,0,57,0,4300,263000,4681,113,NA,NA
"Census Tract 2366.02, Passaic County, New Jersey","2366.02",278,1371,342,7008,90,51,112,0,7008,340000,7008,184,NA,NA
"Census Tract 24, Atlantic County, New Jersey","24",853,297,71,2620,0,30,0,0,2620,230700,2620,0,NA,NA
"Census Tract 24, Essex County, New Jersey","24",756,191,158,2692,0,0,0,138,2692,156800,2692,12,NA,NA
"Census Tract 24, Hudson County, New Jersey","24",104,956,108,2622,13,18,85,230,2622,736500,2622,213,NA,NA
"Census Tract 24, Mercer County, New Jersey","24",0,14,6,565,0,0,0,0,0,NA,565,0,NA,NA
"Census Tract 24.01, Middlesex County, New Jersey","24.01",296,939,366,5435,24,0,0,0,5435,338800,5435,125,NA,NA
"Census Tract 24.02, Middlesex County, New Jersey","24.02",33,283,102,1616,33,0,0,0,1616,489700,1616,46,NA,NA
"Census Tract 241, Bergen County, New Jersey","241",344,1508,197,5923,35,0,127,10,5923,749400,5923,339,NA,NA
"Census Tract 242, Bergen County, New Jersey","242",469,1238,170,4761,13,29,55,82,4761,597200,4761,214,NA,NA
"Census Tract 2460.01, Passaic County, New Jersey","2460.01",273,1097,200,6321,64,64,84,25,6094,454400,6321,181,NA,NA
"Census Tract 2460.02, Passaic County, New Jersey","2460.02",7,747,192,3112,20,0,39,0,2941,563300,3112,114,NA,NA
"Census Tract 2460.03, Passaic County, New Jersey","2460.03",59,1136,380,5581,111,5,103,0,5410,402900,5581,204,NA,NA
"Census Tract 2461.01, Passaic County, New Jersey","2461.01",315,1651,374,6669,205,0,0,0,6669,448500,6669,287,NA,NA
"Census Tract 2461.02, Passaic County, New Jersey","2461.02",135,757,166,2999,36,126,0,7,2999,201100,2999,135,NA,NA
"Census Tract 2461.03, Passaic County, New Jersey","2461.03",273,1482,216,6245,52,0,25,0,6053,500700,6245,364,NA,NA
"Census Tract 2461.04, Passaic County, New Jersey","2461.04",83,535,181,3097,42,19,0,6,3097,506000,3097,109,NA,NA
"Census Tract 2462.01, Passaic County, New Jersey","2462.01",106,1471,197,6198,80,0,110,0,6015,492800,6198,295,NA,NA
"Census Tract 2462.02, Passaic County, New Jersey","2462.02",165,1242,188,5061,0,0,57,0,5061,497100,5061,261,NA,NA
"Census Tract 2462.03, Passaic County, New Jersey","2462.03",146,848,260,3961,22,0,29,0,3961,446900,3961,149,NA,NA
"Census Tract 2463, Passaic County, New Jersey","2463",668,893,190,4946,0,151,21,143,4946,335400,4946,198,NA,NA
"Census Tract 25, Atlantic County, New Jersey","25",1252,287,117,3934,4,71,28,0,3825,141300,3934,84,NA,NA
"Census Tract 25, Essex County, New Jersey","25",1357,180,115,3906,0,68,0,147,3906,187500,3906,22,NA,NA
"Census Tract 25, Mercer County, New Jersey","25",813,721,302,6751,70,12,13,45,6751,173600,6751,81,NA,NA
"Census Tract 25, Middlesex County, New Jersey","25",605,1552,372,6605,0,0,13,38,6605,301600,6605,105,NA,NA
"Census Tract 251, Bergen County, New Jersey","251",806,1069,308,6429,8,0,0,15,6429,398600,6429,268,NA,NA
"Census Tract 252, Bergen County, New Jersey","252",211,1205,174,5662,52,0,17,0,5662,424700,5662,202,NA,NA
"Census Tract 2568.01, Passaic County, New Jersey","2568.01",526,690,225,5664,73,48,71,29,5664,251100,5664,156,NA,NA
"Census Tract 2568.02, Passaic County, New Jersey","2568.02",116,539,305,3574,71,0,50,0,3574,285600,3574,220,NA,NA
"Census Tract 2568.03, Passaic County, New Jersey","2568.03",225,587,351,5129,25,45,16,47,5060,234100,5129,265,NA,NA
"Census Tract 2568.04, Passaic County, New Jersey","2568.04",188,1540,224,6760,103,0,54,0,6636,326300,6760,336,NA,NA
"Census Tract 2568.05, Passaic County, New Jersey","2568.05",218,885,334,5282,139,20,15,0,5282,334700,5282,137,NA,NA
"Census Tract 26, Essex County, New Jersey","26",709,61,87,1622,0,31,0,26,1622,196600,1622,5,NA,NA
"Census Tract 26.01, Mercer County, New Jersey","26.01",632,240,206,4566,16,33,129,14,4566,158900,4566,141,NA,NA
"Census Tract 26.02, Mercer County, New Jersey","26.02",447,455,206,4255,42,142,12,112,4238,190000,4255,123,NA,NA
"Census Tract 26.03, Middlesex County, New Jersey","26.03",275,1172,217,5106,0,32,37,114,5106,321700,5106,88,NA,NA
"Census Tract 26.04, Middlesex County, New Jersey","26.04",135,1073,164,6235,277,0,41,0,6235,302200,6235,262,NA,NA
"Census Tract 26.05, Middlesex County, New Jersey","26.05",83,478,143,2775,0,0,18,8,2775,354500,2775,65,NA,NA
"Census Tract 261, Bergen County, New Jersey","261",223,1010,270,4627,57,0,71,0,4627,538200,4627,176,NA,NA
"Census Tract 262, Bergen County, New Jersey","262",247,1225,234,5768,148,0,56,0,5768,564000,5768,330,NA,NA
"Census Tract 2641.01, Passaic County, New Jersey","2641.01",950,766,201,5964,14,36,10,5,5964,330000,5964,133,NA,NA
"Census Tract 2641.02, Passaic County, New Jersey","2641.02",487,1316,183,6525,144,0,69,243,6513,380900,6525,270,NA,NA
"Census Tract 2642, Passaic County, New Jersey","2642",1749,213,22,4355,0,48,0,11,4355,161900,4355,11,NA,NA
"Census Tract 27, Hudson County, New Jersey","27",1463,737,182,5670,0,21,33,68,5670,275900,5670,101,NA,NA
"Census Tract 27.01, Mercer County, New Jersey","27.01",377,269,241,4100,88,7,0,16,4100,169600,4100,162,NA,NA
"Census Tract 27.01, Middlesex County, New Jersey","27.01",159,951,177,5705,13,85,9,64,5705,282600,5705,115,NA,NA
"Census Tract 27.02, Mercer County, New Jersey","27.02",623,471,298,5597,49,202,0,15,5597,225900,5597,117,NA,NA
"Census Tract 27.03, Middlesex County, New Jersey","27.03",251,691,198,5504,0,54,51,29,5504,271100,5504,191,NA,NA
"Census Tract 270, Bergen County, New Jersey","270",2,1340,92,4101,18,0,12,0,4101,740300,4101,306,NA,NA
"Census Tract 28, Essex County, New Jersey","28",716,43,43,1673,16,29,0,17,1673,210600,1673,58,NA,NA
"Census Tract 28, Hudson County, New Jersey","28",856,1226,185,5647,0,134,27,142,5647,340300,5647,286,NA,NA
"Census Tract 28, Mercer County, New Jersey","28",1279,637,423,7829,0,22,0,54,7829,153900,7829,189,NA,NA
"Census Tract 28.05, Middlesex County, New Jersey","28.05",87,332,124,2508,10,10,7,0,2508,312600,2508,55,NA,NA
"Census Tract 280.01, Bergen County, New Jersey","280.01",381,1447,280,5312,9,16,20,60,5312,468600,5312,211,NA,NA
"Census Tract 280.02, Bergen County, New Jersey","280.02",390,843,167,3799,0,0,16,6,3799,582900,3799,154,NA,NA
"Census Tract 29, Hudson County, New Jersey","29",527,904,113,3816,7,5,6,87,3816,294600,3816,154,NA,NA
"Census Tract 29.01, Middlesex County, New Jersey","29.01",21,509,336,3398,8,68,25,0,3398,274400,3398,48,NA,NA
"Census Tract 29.02, Mercer County, New Jersey","29.02",349,644,158,4454,87,60,0,0,4454,227800,4454,113,NA,NA
"Census Tract 29.02, Middlesex County, New Jersey","29.02",633,354,152,3376,57,0,17,0,3376,282600,3376,57,NA,NA
"Census Tract 29.03, Mercer County, New Jersey","29.03",309,510,152,3286,9,59,8,60,3286,261300,3286,124,NA,NA
"Census Tract 29.04, Mercer County, New Jersey","29.04",272,1244,357,4910,0,20,127,0,4910,319000,4910,256,NA,NA
"Census Tract 291, Bergen County, New Jersey","291",499,1023,345,4440,0,83,0,74,4440,3e+05,4440,109,NA,NA
"Census Tract 292, Bergen County, New Jersey","292",614,819,398,6387,56,34,191,313,6387,324200,6387,283,NA,NA
"Census Tract 3, Atlantic County, New Jersey","3",1267,483,58,4194,0,68,40,14,4194,174300,4194,86,NA,NA
"Census Tract 3, Essex County, New Jersey","3",1276,151,189,3716,17,46,0,0,3716,225000,3716,93,NA,NA
"Census Tract 3, Hudson County, New Jersey","3",501,597,98,4259,0,81,0,21,4259,429400,4259,140,NA,NA
"Census Tract 3, Mercer County, New Jersey","3",891,268,30,4084,0,75,35,49,4084,98000,4084,100,NA,NA
"Census Tract 3, Middlesex County, New Jersey","3",740,1073,446,7284,53,10,0,0,7284,280200,7284,316,NA,NA
"Census Tract 30, Hudson County, New Jersey","30",530,623,85,2855,9,39,0,94,2855,385400,2855,110,NA,NA
"Census Tract 30.01, Mercer County, New Jersey","30.01",47,873,392,5488,114,0,0,0,5488,357400,5488,187,NA,NA
"Census Tract 30.01, Middlesex County, New Jersey","30.01",270,586,190,4122,38,35,29,0,4122,287000,4122,60,NA,NA
"Census Tract 30.02, Mercer County, New Jersey","30.02",100,967,406,5325,22,0,26,0,5231,322500,5325,160,NA,NA
"Census Tract 30.02, Middlesex County, New Jersey","30.02",111,1390,278,6103,0,131,0,102,6103,257900,6103,75,NA,NA
"Census Tract 30.03, Mercer County, New Jersey","30.03",328,814,462,6349,180,13,15,0,6349,245900,6349,136,NA,NA
"Census Tract 30.04, Mercer County, New Jersey","30.04",356,734,322,5280,49,0,31,0,5280,266400,5280,147,NA,NA
"Census Tract 30.06, Mercer County, New Jersey","30.06",18,1064,361,5609,34,11,4,0,5609,279700,5609,172,NA,NA
"Census Tract 30.07, Mercer County, New Jersey","30.07",88,577,150,3301,72,0,14,6,3301,256000,3301,109,NA,NA
"Census Tract 30.08, Mercer County, New Jersey","30.08",254,759,386,5101,21,12,20,0,4778,288600,5101,80,NA,NA
"Census Tract 30.09, Mercer County, New Jersey","30.09",412,1098,245,5598,0,38,30,152,5572,203800,5598,160,NA,NA
"Census Tract 301, Bergen County, New Jersey","301",687,832,143,5543,68,476,0,9,5543,394800,5543,94,NA,NA
"Census Tract 301, Cumberland County, New Jersey","301",191,11,86,954,0,5,0,19,954,75600,954,20,NA,NA
"Census Tract 302, Bergen County, New Jersey","302",753,826,318,7169,9,40,0,104,7169,389100,7169,172,NA,NA
"Census Tract 302, Cumberland County, New Jersey","302",1386,117,225,4539,0,80,0,0,4539,109800,4539,112,NA,NA
"Census Tract 302, Union County, New Jersey","302",823,98,6,3343,0,62,0,38,3343,253800,3343,76,NA,NA
"Census Tract 303, Bergen County, New Jersey","303",570,558,93,4567,0,42,0,36,4517,353900,4567,98,NA,NA
"Census Tract 303, Cumberland County, New Jersey","303",846,146,292,3461,0,10,0,21,3461,113300,3461,15,NA,NA
"Census Tract 304, Bergen County, New Jersey","304",581,969,503,7219,209,77,27,36,7219,364300,7219,207,NA,NA
"Census Tract 304, Cumberland County, New Jersey","304",1615,941,519,8294,0,64,7,31,8138,174400,8294,324,NA,NA
"Census Tract 304, Union County, New Jersey","304",1392,123,82,5630,22,18,0,0,5630,250200,5630,71,NA,NA
"Census Tract 305, Union County, New Jersey","305",983,184,99,5234,0,0,38,0,5234,248700,5234,90,NA,NA
"Census Tract 305.01, Cumberland County, New Jersey","305.01",336,417,429,6418,0,0,67,72,6418,173200,6418,187,NA,NA
"Census Tract 305.02, Cumberland County, New Jersey","305.02",923,322,124,4284,11,0,35,0,4284,160600,4284,87,NA,NA
"Census Tract 306, Union County, New Jersey","306",916,129,97,3369,11,97,0,0,3369,225600,3369,70,NA,NA
"Census Tract 306, Warren County, New Jersey","306",751,401,190,3715,69,176,0,50,3715,150900,3715,114,NA,NA
"Census Tract 307, Warren County, New Jersey","307",636,399,197,4552,41,346,57,180,4552,111200,4552,151,NA,NA
"Census Tract 307.01, Union County, New Jersey","307.01",232,129,41,1778,8,0,7,0,1778,289300,1778,42,NA,NA
"Census Tract 307.02, Union County, New Jersey","307.02",1253,339,320,8149,0,88,14,0,8149,261900,8149,254,NA,NA
