"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","score"
"Census Tract 106, Essex County, New Jersey","106",903,232,159,4060,0,68,0,262,4060,229700,4060,48,NA,NA
"Census Tract 106, Hudson County, New Jersey","106",1266,1129,312,7222,31,27,46,22,7222,307200,7222,278,NA,NA
"Census Tract 106, Hunterdon County, New Jersey","106",133,981,393,6092,99,42,56,17,6044,380500,6092,470,NA,NA
"Census Tract 107, Atlantic County, New Jersey","107",562,695,263,5987,9,0,42,0,5964,209500,5987,291,NA,NA
"Census Tract 107, Cumberland County, New Jersey","107",1001,711,366,7473,43,32,12,119,7466,210300,7473,199,NA,NA
"Census Tract 107, Essex County, New Jersey","107",799,216,142,3068,0,0,0,11,2921,197300,3068,73,NA,NA
"Census Tract 107, Hudson County, New Jersey","107",601,492,88,3663,0,28,0,42,3663,325700,3663,45,NA,NA
"Census Tract 107.01, Hunterdon County, New Jersey","107.01",177,1318,221,5599,127,107,157,8,4754,390100,5599,145,NA,NA
"Census Tract 107.02, Hunterdon County, New Jersey","107.02",105,741,157,3281,50,0,31,14,3247,452400,3281,190,NA,NA
"Census Tract 108, Atlantic County, New Jersey","108",462,370,173,3383,69,121,14,24,3024,246600,3383,84,NA,NA
"Census Tract 108, Cumberland County, New Jersey","108",360,260,224,3069,54,0,10,29,2993,186500,3069,132,NA,NA
"Census Tract 108, Essex County, New Jersey","108",469,199,152,2628,0,19,27,124,2598,204500,2628,62,NA,NA
"Census Tract 108, Hudson County, New Jersey","108",308,468,164,3565,7,49,0,25,3565,338900,3565,106,NA,NA
"Census Tract 108.01, Hunterdon County, New Jersey","108.01",212,630,113,2676,70,21,19,47,2676,360200,2676,164,NA,NA
"Census Tract 108.02, Hunterdon County, New Jersey","108.02",92,414,117,1945,27,16,11,34,1945,282500,1945,83,NA,NA
"Census Tract 109, Atlantic County, New Jersey","109",544,800,267,5638,0,0,15,0,5638,254900,5638,217,NA,NA
"Census Tract 109, Essex County, New Jersey","109",360,166,39,2593,0,21,18,41,2593,223800,2593,43,NA,NA
"Census Tract 109, Hudson County, New Jersey","109",511,277,41,2149,4,38,4,52,2146,275000,2149,69,NA,NA
"Census Tract 109, Hunterdon County, New Jersey","109",450,742,132,3527,85,9,7,10,3527,257800,3527,235,NA,NA
"Census Tract 11, Atlantic County, New Jersey","11",973,49,91,1882,0,0,0,28,1882,172900,1882,22,NA,NA
"Census Tract 11, Essex County, New Jersey","11",752,177,56,3187,5,0,6,32,3187,213800,3187,17,NA,NA
"Census Tract 11, Hudson County, New Jersey","11",891,965,225,5371,6,91,31,14,5371,293700,5371,80,NA,NA
"Census Tract 11, Middlesex County, New Jersey","11",320,975,119,4516,0,190,30,164,4511,417400,4516,257,NA,NA
"Census Tract 11.01, Mercer County, New Jersey","11.01",653,126,55,2526,22,46,0,29,2526,121600,2526,21,NA,NA
"Census Tract 11.02, Mercer County, New Jersey","11.02",1518,117,122,3459,0,72,0,31,3338,83100,3459,50,NA,NA
"Census Tract 110, Atlantic County, New Jersey","110",139,270,125,2514,0,0,0,0,2514,240600,2514,81,NA,NA
"Census Tract 110, Hudson County, New Jersey","110",382,293,69,2012,0,25,0,19,1987,308700,2012,67,NA,NA
"Census Tract 110.01, Hunterdon County, New Jersey","110.01",108,1205,239,7092,41,16,43,17,4606,449300,7092,211,NA,NA
"Census Tract 110.02, Hunterdon County, New Jersey","110.02",214,1466,323,5865,125,15,17,0,5756,413700,5865,336,NA,NA
"Census Tract 111, Atlantic County, New Jersey","111",428,215,228,2749,12,0,0,0,2749,235400,2749,70,NA,NA
"Census Tract 111, Bergen County, New Jersey","111",259,647,140,4382,16,0,30,180,4382,322600,4382,108,NA,NA
"Census Tract 111, Essex County, New Jersey","111",996,248,140,3986,0,22,0,92,3986,138600,3986,90,NA,NA
"Census Tract 111, Hudson County, New Jersey","111",859,633,176,4526,10,0,0,54,4512,300700,4526,142,NA,NA
"Census Tract 111, Hunterdon County, New Jersey","111",172,988,186,5270,32,0,22,0,5270,395900,5270,199,NA,NA
"Census Tract 112, Bergen County, New Jersey","112",513,676,201,5001,120,27,0,0,5001,358300,5001,214,NA,NA
"Census Tract 112, Essex County, New Jersey","112",863,225,152,3398,0,16,0,190,3398,220600,3398,72,NA,NA
"Census Tract 112, Hudson County, New Jersey","112",522,1191,240,6334,0,63,0,46,6334,322900,6334,149,NA,NA
"Census Tract 112.01, Atlantic County, New Jersey","112.01",167,204,110,1768,0,19,11,0,1768,186200,1768,34,NA,NA
"Census Tract 112.01, Hunterdon County, New Jersey","112.01",41,1750,232,7219,181,31,24,0,7219,554500,7219,538,NA,NA
"Census Tract 112.02, Atlantic County, New Jersey","112.02",961,489,331,7366,292,197,52,0,7366,187500,7366,151,NA,NA
"Census Tract 112.02, Hunterdon County, New Jersey","112.02",95,868,170,3391,28,43,45,0,3391,373600,3391,125,NA,NA
"Census Tract 113, Atlantic County, New Jersey","113",451,478,227,4422,41,181,55,27,4422,180600,4422,84,NA,NA
"Census Tract 113, Bergen County, New Jersey","113",317,688,195,4328,22,49,0,11,4328,350700,4328,82,NA,NA
"Census Tract 113, Essex County, New Jersey","113",828,286,330,3634,0,24,0,65,3628,263300,3634,76,NA,NA
"Census Tract 113, Hudson County, New Jersey","113",489,453,47,2614,5,28,61,0,2614,261700,2614,41,NA,NA
"Census Tract 113.01, Hunterdon County, New Jersey","113.01",92,1443,271,6375,140,37,45,0,6174,452800,6375,102,NA,NA
"Census Tract 113.02, Hunterdon County, New Jersey","113.02",601,1895,354,7548,118,15,27,24,7541,446600,7548,424,NA,NA
"Census Tract 113.03, Hunterdon County, New Jersey","113.03",229,883,456,4641,85,0,0,0,4641,289000,4641,132,NA,NA
"Census Tract 113.04, Hunterdon County, New Jersey","113.04",209,957,116,3499,72,0,29,0,3472,471900,3499,183,NA,NA
"Census Tract 114, Bergen County, New Jersey","114",504,900,203,6401,50,93,0,0,6401,383000,6401,209,NA,NA
"Census Tract 114, Essex County, New Jersey","114",780,631,156,4563,12,28,11,92,4441,225000,4563,139,NA,NA
"Census Tract 114, Hudson County, New Jersey","114",169,574,69,3572,0,32,0,6,3572,342300,3572,83,NA,NA
"Census Tract 114, Hunterdon County, New Jersey","114",1048,645,177,4624,36,179,0,82,4555,286700,4624,200,NA,NA
"Census Tract 114.01, Atlantic County, New Jersey","114.01",307,661,244,4314,45,0,14,0,4304,219700,4314,146,NA,NA
"Census Tract 114.03, Atlantic County, New Jersey","114.03",210,802,137,5654,134,446,50,14,5654,149400,5654,364,NA,NA
"Census Tract 114.04, Atlantic County, New Jersey","114.04",1098,1352,673,9439,274,18,91,199,8827,205300,9439,250,NA,NA
"Census Tract 115, Atlantic County, New Jersey","115",511,828,279,6811,34,247,36,131,6779,217200,6811,280,NA,NA
"Census Tract 115, Essex County, New Jersey","115",493,153,164,2361,36,5,14,0,2356,182300,2361,29,NA,NA
"Census Tract 115, Hudson County, New Jersey","115",435,520,80,2968,0,12,0,0,2968,345700,2968,90,NA,NA
"Census Tract 115, Hunterdon County, New Jersey","115",213,1094,291,5048,153,39,3,13,5029,398500,5048,456,NA,NA
"Census Tract 116, Atlantic County, New Jersey","116",275,545,242,4957,92,23,43,24,4946,189600,4957,184,NA,NA
"Census Tract 116, Essex County, New Jersey","116",1245,209,140,3334,16,112,0,12,3334,202000,3334,11,NA,NA
"Census Tract 116, Hudson County, New Jersey","116",611,825,149,3968,0,34,7,15,3968,323000,3968,61,NA,NA
"Census Tract 116, Hunterdon County, New Jersey","116",186,1041,114,5129,77,35,27,5,5129,444600,5129,491,NA,NA
"Census Tract 1165, Passaic County, New Jersey","1165",707,1469,533,8105,168,264,49,42,8001,297000,8105,203,NA,NA
"Census Tract 117, Essex County, New Jersey","117",667,245,174,2965,0,14,30,0,2937,176600,2965,20,NA,NA
"Census Tract 117, Hunterdon County, New Jersey","117",124,628,208,3888,29,15,0,17,3862,398500,3888,256,NA,NA
"Census Tract 117.01, Atlantic County, New Jersey","117.01",1916,875,320,8862,0,0,0,0,8862,185000,8862,263,NA,NA
"Census Tract 117.02, Atlantic County, New Jersey","117.02",377,193,173,3166,16,0,4,0,3166,111700,3166,21,NA,NA
"Census Tract 118, Essex County, New Jersey","118",222,218,59,2177,15,0,0,20,2177,230200,2177,43,NA,NA
"Census Tract 118, Hunterdon County, New Jersey","118",76,583,111,2774,11,18,28,21,2774,441900,2774,252,NA,NA
"Census Tract 118.02, Atlantic County, New Jersey","118.02",432,3251,945,16571,51,226,221,125,16536,251200,16571,406,NA,NA
