full_name,census_tract,associates,bachelors,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,museums,pharmacies,population,poverty,self_income,score
"Census Tract 1, Atlantic County, New Jersey",1.0,-0.26015804485752353,-1.2254301319535938,-1.0225966218631501,-0.6876217703363279,-0.634448158892937,-0.5413280726913983,-0.34336376218096964,-0.9917071721048423,-0.7325423242191447,0.3133086784155188,-0.3092241232435715,-1.0225966218631501,0.4032661211537898,-0.999574296871311,17.498031094028015
"Census Tract 1, Essex County, New Jersey",1.0,0.12439105900903694,-0.1089673421160443,1.0602962931811666,-0.6876217703363279,-0.634448158892937,-0.649777408076868,-0.41997985080049755,1.0910082354174135,-0.31533892806052305,-0.1250611054107999,1.7643356329549604,1.0602962931811666,0.9574116275489282,-0.788338603657603,35.25561200586549
"Census Tract 1, Hudson County, New Jersey",1.0,-0.313816059350532,0.5306031582499771,1.2510659246525153,0.8621913161333248,-0.14828868502894477,0.35337894423872757,1.6180081064789456,1.28176160919048,-0.1698462384910484,-0.7095541505125581,0.5794443436986565,1.2510659246525153,0.8884216247447141,1.585548234363116,44.321862130639126
"Census Tract 1, Mercer County, New Jersey",1.0,-0.9845412405131374,-1.234344006523155,-0.7689786861461385,-0.5223083744462316,-0.09109345280965156,-0.649777408076868,-0.5885352457634591,-0.7381108501208239,-1.5856020254555514,1.3361715073435958,-0.3092241232435715,-0.7689786861461385,0.8950980766289929,-1.210809990085019,18.248713847805057
"Census Tract 1, Middlesex County, New Jersey",1.0,1.2154373537002086,0.9250421079530635,1.6270433907593131,-0.6876217703363279,-0.4056672300157642,-0.649777408076868,-0.5885352457634591,1.6577070338860862,0.0023822871958937737,-0.41730762796167903,0.28322152138458045,1.6270433907593131,-0.8897400604348664,1.1127826352657695,40.4750754020152
"Census Tract 10, Bergen County, New Jersey",10.0,0.7235722208476312,2.3044641975926705,1.2054591905981404,-0.6049650723912797,-0.634448158892937,-0.43287873730592846,-0.5885352457634591,1.1060238071138357,2.1779332308009867,0.16718541714007923,-0.3092241232435715,1.2054591905981404,-0.7161523114436182,1.8169016126447963,46.47493670271738
"Census Tract 10, Essex County, New Jersey",10.0,-0.8235671970341121,-1.0694373269862716,-0.3746472904808727,-0.5429725489324936,0.3378707888350475,-0.4599910711522959,-0.09819227859848022,-0.7470089666816667,-0.25440609225792254,-0.1250611054107999,1.7643356329549604,-0.3746472904808727,1.5582922971340178,-0.89898587153145,26.416944295482097
"Census Tract 10, Hudson County, New Jersey",10.0,-0.9845412405131374,-0.6148297239386465,-1.3157033151150472,-0.3156666295836112,-0.634448158892937,-0.649777408076868,-0.45062628624830875,-1.2847888863276002,-0.4403134178189179,-0.7095541505125581,-0.3092241232435715,-1.3157033151150472,-0.40903552476679456,-0.6776913357837558,14.601087822690245
"Census Tract 10, Mercer County, New Jersey",10.0,-0.4837331052450587,-1.1585760726818843,-0.9352764115395299,-0.6876217703363279,-0.634448158892937,-0.649777408076868,-0.5885352457634591,-1.0111718020816858,-1.2890207736408532,1.3361715073435958,-1.1978925901857995,-0.9352764115395299,1.6050274603239694,-0.9693977692693527,18.350086952196378
"Census Tract 10.01, Middlesex County, New Jersey",10.01,0.5536551749531045,-0.3630127673485406,-1.0109168485077615,-0.2950024550973492,-0.634448158892937,-0.3515417357668261,-0.5885352457634591,-0.9800283941187361,0.1484967403960072,-0.41730762796167903,2.6530040998971884,-1.0109168485077615,-0.9431516755090966,-0.6072794380458532,26.244415156701635
"Census Tract 10.02, Middlesex County, New Jersey",10.02,0.499997160460096,1.1300612230529727,1.3567400645346035,-0.41898750201492135,1.7677515943173778,-0.649777408076868,2.6293404762567145,1.256179524078057,-0.17108976575232598,-0.41730762796167903,2.6530040998971884,1.3567400645346035,-0.052958090938593216,0.8914880995180754,47.46481907819953
"Census Tract 100, Essex County, New Jersey",100.0,-0.3764170762590418,-0.8933883042374364,-1.0548550435113666,0.07695268565536748,-0.634448158892937,-0.649777408076868,-0.006252972255046689,-1.0323048289136874,-0.49689390820704693,-0.1250611054107999,0.28322152138458045,-1.0548550435113666,-0.32891810215544925,-0.8386328163275334,18.876981144684745
"Census Tract 101, Bergen County, New Jersey",101.0,0.4373961435515861,1.208057625536634,0.9079030598775237,-0.6876217703363279,-0.634448158892937,-0.649777408076868,0.56070608352946,0.9386279893129815,0.22062132155010572,0.16718541714007923,-0.013001300929495533,0.9079030598775237,-0.5670448860280589,0.961899997255978,38.18811586147521
"Census Tract 101, Essex County, New Jersey",101.0,-0.09918400137849821,-1.0672088583438812,-1.0398381920544382,0.1389452091141536,-0.20548391724823797,-0.405766403459561,-0.5885352457634591,-1.008947272941475,-0.6144072343977764,-0.1250611054107999,0.28322152138458045,-1.0398381920544382,-0.35784939365399066,-1.0599273520752275,18.574703110307766
"Census Tract 101, Hudson County, New Jersey",101.0,-0.12601300862500242,0.9629260748736989,0.5797570465594605,-0.6876217703363279,-0.2912767655771778,1.1396366257833834,-0.05222262542676345,0.6105099411319052,0.060828068475939134,-0.7095541505125581,1.7643356329549604,0.5797570465594605,0.1651393372811801,-0.05404309867661783,37.92083244081771
"Census Tract 101, Hunterdon County, New Jersey",101.0,0.034961034854022875,1.473245393981082,0.8717513804441778,1.7094224700700682,0.12338866801269797,-0.649777408076868,-0.5885352457634591,0.9024793907845579,1.7930615434355814,-1.0018006730634372,0.28322152138458045,0.8717513804441778,-0.7673384425564223,2.99378618912117,46.718788398116885
