full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 1, Atlantic County, New Jersey",1.0,858,118,53,2142,5,15,4,47,2142,153000.0,2142,46,21,4,17.37223076923077
"Census Tract 1, Essex County, New Jersey",1.0,1143,474,286,6872,102,82,0,0,6872,232700.0,6872,113,18,11,27.774461538461534
"Census Tract 1, Hudson County, New Jersey",1.0,521,1152,202,6278,42,51,0,0,6278,344900.0,6278,108,14,7,39.66441538461539
"Census Tract 1, Mercer County, New Jersey",1.0,940,185,111,3281,0,15,0,32,3281,94600.0,3281,13,28,4,11.504738461538462
"Census Tract 1, Middlesex County, New Jersey",1.0,485,1106,499,7633,20,297,11,36,7633,325000.0,7633,264,16,6,38.09323076923077
"Census Tract 10, Bergen County, New Jersey",10.0,109,1892,235,6762,28,184,10,67,6664,710600.0,6762,204,20,4,79.31604615384616
"Census Tract 10, Essex County, New Jersey",10.0,1004,267,125,3647,0,0,0,29,3139,169900.0,3647,23,18,11,19.687415384615388
"Census Tract 10, Hudson County, New Jersey",10.0,248,503,74,1964,10,7,3,46,1964,362500.0,1964,35,14,4,39.86361538461539
"Census Tract 10, Mercer County, New Jersey",10.0,957,120,96,2722,0,102,0,90,2534,91300.0,2722,10,28,1,10.920292307692309
"Census Tract 10.01, Middlesex County, New Jersey",10.01,50,546,89,2544,4,0,102,0,2544,352700.0,2544,89,16,14,39.017861538461545
"Census Tract 10.02, Middlesex County, New Jersey",10.02,116,1270,191,7538,41,239,59,92,7320,333900.0,7538,141,16,14,38.894600000000004
"Census Tract 100, Essex County, New Jersey",100.0,171,378,263,2961,19,54,100,0,2920,242100.0,2961,66,18,6,27.26061538461538
"Census Tract 101, Bergen County, New Jersey",101.0,266,1297,224,5883,0,0,37,0,5883,369100.0,5883,226,20,5,42.15709230769232
"Census Tract 101, Essex County, New Jersey",101.0,294,316,137,2745,32,0,30,0,2745,211800.0,2745,32,18,6,23.89601538461539
"Census Tract 101, Hudson County, New Jersey",101.0,831,1150,245,6927,56,72,26,56,6927,317400.0,6927,92,14,11,36.97523076923077
"Census Tract 101, Hunterdon County, New Jersey",101.0,55,1469,174,5830,62,0,77,0,5830,672300.0,5830,386,12,6,74.83395384615386
"Census Tract 101.01, Atlantic County, New Jersey",101.01,196,436,227,3154,33,0,53,52,3154,335700.0,3154,119,21,2,37.43332307692309
"Census Tract 101.01, Cumberland County, New Jersey",101.01,105,214,106,2638,46,0,0,21,2481,155700.0,2638,43,18,3,17.754830769230775
"Census Tract 101.02, Atlantic County, New Jersey",101.02,213,376,131,1813,42,29,84,55,1807,484400.0,1813,35,21,2,52.93203076923077
"Census Tract 101.03, Cumberland County, New Jersey",101.03,0,114,225,5066,0,0,0,0,0,0.0,5066,0,18,5,1.0672923076923078
"Census Tract 101.04, Atlantic County, New Jersey",101.04,57,272,173,1415,13,6,22,22,1415,364200.0,1415,86,21,2,39.825461538461546
"Census Tract 101.05, Atlantic County, New Jersey",101.05,416,592,125,2584,19,0,0,8,2584,305200.0,2584,115,21,2,33.97113846153847
"Census Tract 102, Atlantic County, New Jersey",102.0,104,835,447,5866,0,0,58,0,5729,207900.0,5866,77,21,6,24.678215384615385
"Census Tract 102, Bergen County, New Jersey",102.0,237,831,134,4457,11,0,17,40,4457,356300.0,4457,165,20,5,40.17133846153847
"Census Tract 102, Cumberland County, New Jersey",102.0,892,313,188,5026,32,21,0,53,5026,132100.0,5026,72,18,3,16.205015384615386
"Census Tract 102, Essex County, New Jersey",102.0,309,399,198,4552,21,54,0,62,4361,232700.0,4552,53,18,6,26.790676923076923
"Census Tract 102, Hudson County, New Jersey",102.0,274,627,56,2970,0,52,34,43,2970,339200.0,2970,47,14,11,37.736476923076935
"Census Tract 102, Hunterdon County, New Jersey",102.0,212,1795,336,7326,47,25,72,0,7259,357200.0,7326,402,12,7,41.51563076923078
"Census Tract 103, Atlantic County, New Jersey",103.0,432,211,194,2423,16,15,4,5,2423,173000.0,2423,67,21,6,19.619215384615384
"Census Tract 103, Bergen County, New Jersey",103.0,419,1357,286,7354,0,0,111,0,7354,366800.0,7354,137,20,5,42.44643076923078
"Census Tract 103, Essex County, New Jersey",103.0,612,324,105,3461,44,0,36,84,3262,186000.0,3461,68,18,6,21.386538461538464
"Census Tract 103, Hudson County, New Jersey",103.0,840,468,23,3085,0,30,9,0,3085,281400.0,3085,91,14,16,31.589938461538466
"Census Tract 103, Hunterdon County, New Jersey",103.0,234,544,189,2809,49,96,27,7,2794,244200.0,2809,152,12,7,27.480138461538463
"Census Tract 103.01, Cumberland County, New Jersey",103.01,458,171,191,3178,16,0,18,0,3178,172900.0,3178,62,18,6,19.86978461538462
"Census Tract 103.02, Cumberland County, New Jersey",103.02,149,75,66,1177,12,18,0,2,1177,147300.0,1177,45,18,6,16.332969230769233
"Census Tract 104, Essex County, New Jersey",104.0,647,468,172,4577,0,78,245,181,4577,265500.0,4577,51,18,1,30.426292307692304
"Census Tract 104, Hudson County, New Jersey",104.0,379,856,165,4341,0,145,0,174,4341,321600.0,4341,76,14,11,36.4088
"Census Tract 104, Hunterdon County, New Jersey",104.0,151,1106,242,4626,123,39,80,0,4626,378700.0,4626,209,12,5,42.71446153846155
"Census Tract 104.01, Atlantic County, New Jersey",104.01,113,846,474,5878,34,17,0,237,5841,245800.0,5878,244,21,7,28.844030769230773
"Census Tract 104.01, Cumberland County, New Jersey",104.01,674,322,186,5067,35,30,55,11,5067,158800.0,5067,139,18,6,19.091569230769235
"Census Tract 104.02, Cumberland County, New Jersey",104.02,0,33,26,1091,0,0,0,0,0,0.0,1091,0,18,2,0.22921538461538463
"Census Tract 104.03, Atlantic County, New Jersey",104.03,392,959,439,7138,59,332,0,0,6699,199900.0,7138,139,21,2,24.305876923076926
"Census Tract 105, Cumberland County, New Jersey",105.0,140,198,157,1661,19,22,3,0,1661,194400.0,1661,73,18,6,21.61655384615385
"Census Tract 105, Essex County, New Jersey",105.0,936,270,161,4878,0,82,0,75,4860,209200.0,4878,95,18,6,24.456076923076928
"Census Tract 105, Hudson County, New Jersey",105.0,555,1059,170,5384,61,21,0,68,5384,336800.0,5384,247,14,11,38.500061538461544
"Census Tract 105, Hunterdon County, New Jersey",105.0,199,979,196,5157,0,0,34,0,5157,326500.0,5157,274,12,1,37.263569230769235
"Census Tract 105.01, Atlantic County, New Jersey",105.01,306,1217,700,6870,151,0,88,350,6870,213000.0,6870,300,21,1,25.814230769230775
"Census Tract 105.03, Atlantic County, New Jersey",105.03,1101,944,435,7454,18,214,215,84,7454,178700.0,7454,310,21,2,22.328923076923083
