full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 105, Hunterdon County, New Jersey",105.0,252,827,235,5196,0,0,45,0,5196,338100.0,5196,297,12,1,38.52161538461539
"Census Tract 105.01, Atlantic County, New Jersey",105.01,413,935,578,7084,89,22,31,249,7064,223800.0,7084,276,21,1,26.98086153846154
"Census Tract 105.03, Atlantic County, New Jersey",105.03,1104,858,522,8043,65,188,113,81,8043,181300.0,8043,217,21,2,22.788323076923078
"Census Tract 105.05, Atlantic County, New Jersey",105.05,155,261,109,2543,0,0,29,0,2528,215400.0,2543,89,21,2,24.195384615384615
"Census Tract 105.06, Atlantic County, New Jersey",105.06,424,712,305,5334,82,0,66,0,5323,219100.0,5334,230,21,6,25.754753846153847
"Census Tract 106, Atlantic County, New Jersey",106.0,735,236,159,4243,0,100,0,0,4202,153900.0,4243,147,21,7,18.25569230769231
"Census Tract 106, Cumberland County, New Jersey",106.0,346,504,269,4867,16,0,10,2,4636,177800.0,4867,107,18,6,21.022153846153852
"Census Tract 106, Essex County, New Jersey",106.0,1187,336,236,4426,11,51,0,45,4426,219700.0,4426,66,18,6,25.467738461538467
"Census Tract 106, Hudson County, New Jersey",106.0,1091,1213,277,6881,0,40,12,20,6881,307500.0,6881,222,14,11,35.96092307692309
"Census Tract 106, Hunterdon County, New Jersey",106.0,130,1093,225,6097,61,7,29,19,6050,403800.0,6097,346,12,5,45.952015384615386
"Census Tract 107, Atlantic County, New Jersey",107.0,517,665,263,6122,0,0,104,0,6105,208200.0,6122,182,21,4,24.839876923076925
"Census Tract 107, Cumberland County, New Jersey",107.0,900,839,411,7565,0,38,12,215,7558,207500.0,7565,168,18,6,25.373338461538463
"Census Tract 107, Essex County, New Jersey",107.0,566,248,173,3075,0,0,0,22,2908,194500.0,3075,17,18,7,22.142000000000003
"Census Tract 107, Hudson County, New Jersey",107.0,541,458,142,3839,0,26,0,0,3839,328900.0,3839,115,14,11,36.962169230769234
"Census Tract 107.01, Hunterdon County, New Jersey",107.01,105,1346,209,5706,96,68,129,0,4817,394000.0,5706,216,12,9,44.63940000000001
"Census Tract 107.02, Hunterdon County, New Jersey",107.02,82,714,151,3231,32,0,30,14,3198,468900.0,3231,178,12,9,51.82955384615384
"Census Tract 108, Atlantic County, New Jersey",108.0,372,357,87,3209,72,141,14,26,2918,224000.0,3209,80,21,5,25.36092307692308
"Census Tract 108, Cumberland County, New Jersey",108.0,367,240,228,3108,97,0,16,6,3045,190600.0,3108,98,18,6,21.76263076923077
"Census Tract 108, Essex County, New Jersey",108.0,258,171,113,2474,0,20,9,109,2445,213200.0,2474,54,18,2,23.92698461538462
"Census Tract 108, Hudson County, New Jersey",108.0,468,246,123,3146,3,40,0,4,3146,330600.0,3146,34,14,11,36.83673846153847
"Census Tract 108.01, Hunterdon County, New Jersey",108.01,200,636,98,2679,10,31,26,38,2679,352100.0,2679,94,12,3,39.03321538461539
"Census Tract 108.02, Hunterdon County, New Jersey",108.02,147,375,82,1693,25,62,10,89,1693,258600.0,1693,51,12,1,28.560507692307695
"Census Tract 109, Atlantic County, New Jersey",109.0,619,824,301,5943,0,33,0,0,5943,252000.0,5943,215,21,2,29.54163076923077
"Census Tract 109, Essex County, New Jersey",109.0,580,121,62,2493,0,21,30,28,2493,248800.0,2493,0,18,7,27.7734
"Census Tract 109, Hudson County, New Jersey",109.0,602,274,42,2149,3,7,0,27,2147,322400.0,2149,71,14,11,35.615907692307694
"Census Tract 109, Hunterdon County, New Jersey",109.0,143,677,176,3564,73,33,9,10,3564,240000.0,3564,213,12,5,27.318584615384612
"Census Tract 11, Atlantic County, New Jersey",11.0,837,112,74,1884,0,0,0,10,1884,217400.0,1884,19,21,4,24.20555384615385
"Census Tract 11, Essex County, New Jersey",11.0,580,184,108,3141,24,15,0,48,3141,221700.0,3141,6,18,11,25.103061538461542
"Census Tract 11, Hudson County, New Jersey",11.0,812,876,220,5299,16,57,0,38,5299,265400.0,5299,73,14,6,30.740061538461536
"Census Tract 11, Middlesex County, New Jersey",11.0,423,878,64,4436,0,216,30,251,4431,394700.0,4436,266,16,4,44.36740000000001
"Census Tract 11.01, Mercer County, New Jersey",11.01,652,103,42,2285,22,0,0,14,2285,151000.0,2285,36,28,2,17.17724615384616
"Census Tract 11.02, Mercer County, New Jersey",11.02,1573,172,154,3644,0,74,0,13,3519,84600.0,3644,80,28,2,10.629800000000003
"Census Tract 110, Atlantic County, New Jersey",110.0,236,270,138,2566,0,6,0,0,2566,258700.0,2566,71,21,4,28.877353846153845
"Census Tract 110, Hudson County, New Jersey",110.0,502,279,124,2239,0,0,0,43,2213,275000.0,2239,64,14,11,30.540600000000005
"Census Tract 110.01, Hunterdon County, New Jersey",110.01,49,1182,211,7132,65,24,13,20,4594,436300.0,7132,235,12,4,49.40916923076924
"Census Tract 110.02, Hunterdon County, New Jersey",110.02,282,1566,271,5987,152,94,0,29,5881,391800.0,5987,307,12,9,44.7075076923077
"Census Tract 111, Atlantic County, New Jersey",111.0,577,194,153,2912,10,0,0,0,2912,198900.0,2912,93,21,5,22.593123076923078
"Census Tract 111, Bergen County, New Jersey",111.0,274,619,158,4293,46,0,26,53,4293,326100.0,4293,120,20,2,36.82780000000001
"Census Tract 111, Essex County, New Jersey",111.0,1137,187,208,4082,8,38,0,67,4082,110000.0,4082,52,18,6,13.49626153846154
"Census Tract 111, Hudson County, New Jersey",111.0,1046,626,140,4770,0,0,0,15,4770,295200.0,4770,148,14,11,33.750246153846156
"Census Tract 111, Hunterdon County, New Jersey",111.0,304,980,210,5064,35,0,20,0,5064,379500.0,5064,319,12,5,42.96503076923077
"Census Tract 112, Bergen County, New Jersey",112.0,764,677,212,5077,117,47,14,0,5077,353400.0,5077,166,20,6,40.1305076923077
"Census Tract 112, Essex County, New Jersey",112.0,641,163,115,3024,0,31,0,199,3024,209100.0,3024,48,18,7,23.728938461538466
"Census Tract 112, Hudson County, New Jersey",112.0,725,1100,211,6689,0,36,13,34,6689,314300.0,6689,64,14,11,36.517692307692315
"Census Tract 112.01, Atlantic County, New Jersey",112.01,151,192,108,1859,3,0,20,0,1859,191500.0,1859,34,21,5,21.355861538461543
"Census Tract 112.01, Hunterdon County, New Jersey",112.01,119,1806,265,7342,261,0,36,0,7342,512700.0,7342,435,12,9,58.276553846153824
"Census Tract 112.02, Atlantic County, New Jersey",112.02,1316,636,329,7524,69,108,87,0,7524,184600.0,7524,159,21,6,22.89261538461539
"Census Tract 112.02, Hunterdon County, New Jersey",112.02,120,782,132,3516,86,21,38,7,3516,376500.0,3516,116,12,9,41.98480000000001
"Census Tract 113, Atlantic County, New Jersey",113.0,592,357,221,4534,0,165,47,0,4534,178000.0,4534,69,21,5,20.9596
"Census Tract 113, Bergen County, New Jersey",113.0,349,774,154,4240,14,41,0,9,4240,343300.0,4240,83,20,4,38.67923076923078
"Census Tract 113, Essex County, New Jersey",113.0,843,210,285,3532,0,32,0,191,3526,0.0,3532,58,18,4,1.4466307692307692
"Census Tract 113, Hudson County, New Jersey",113.0,663,422,65,2755,0,34,0,0,2755,267100.0,2755,77,14,11,29.909523076923076
"Census Tract 113.01, Hunterdon County, New Jersey",113.01,180,1385,203,6420,109,15,268,0,6215,417300.0,6420,205,12,9,47.52287692307693
"Census Tract 113.02, Hunterdon County, New Jersey",113.02,493,1578,416,7367,67,36,0,21,7361,423700.0,7367,393,12,9,48.706661538461546
"Census Tract 113.03, Hunterdon County, New Jersey",113.03,326,746,553,4652,112,0,0,0,4652,271300.0,4652,203,12,9,31.15924615384615
"Census Tract 113.04, Hunterdon County, New Jersey",113.04,170,841,179,3587,35,0,32,22,3552,450300.0,3587,153,12,9,49.97972307692308
"Census Tract 114, Bergen County, New Jersey",114.0,505,1145,178,6525,41,73,43,34,6525,375100.0,6525,188,20,3,43.025230769230774
"Census Tract 114, Essex County, New Jersey",114.0,984,579,151,4790,0,66,0,98,4667,179700.0,4790,151,18,1,21.298107692307696
"Census Tract 114, Hudson County, New Jersey",114.0,139,466,169,3794,0,24,0,9,3794,306200.0,3794,76,14,11,34.453953846153844
"Census Tract 114, Hunterdon County, New Jersey",114.0,941,638,125,4663,29,85,0,73,4573,289000.0,4663,207,12,9,33.04487692307693
"Census Tract 114.01, Atlantic County, New Jersey",114.01,233,622,238,4383,7,0,12,0,4383,220900.0,4383,189,21,1,25.55040000000001
"Census Tract 114.03, Atlantic County, New Jersey",114.03,700,760,179,5788,91,404,75,156,5788,130300.0,5788,331,21,1,16.433723076923076
"Census Tract 114.04, Atlantic County, New Jersey",114.04,1554,1150,568,10157,10,31,106,257,9383,189000.0,10157,194,21,6,24.338307692307694
"Census Tract 115, Atlantic County, New Jersey",115.0,333,902,340,6434,0,0,0,96,6434,206300.0,6434,313,21,5,24.810538461538464
"Census Tract 115, Essex County, New Jersey",115.0,563,107,157,2328,15,18,0,0,2323,171400.0,2328,48,18,4,19.39921538461539
"Census Tract 115, Hudson County, New Jersey",115.0,515,485,122,3484,0,31,0,0,3484,324000.0,3484,60,14,11,36.293061538461544
"Census Tract 115, Hunterdon County, New Jersey",115.0,183,1044,279,5177,153,37,63,6,5158,363100.0,5177,466,12,9,41.294369230769234
"Census Tract 116, Atlantic County, New Jersey",116.0,396,516,214,4935,26,14,35,26,4916,179100.0,4935,221,21,2,21.25223076923077
"Census Tract 116, Essex County, New Jersey",116.0,1075,144,68,2981,21,103,0,10,2981,215300.0,2981,13,18,7,24.402938461538465
"Census Tract 116, Hudson County, New Jersey",116.0,738,761,123,4443,0,17,0,15,4443,305600.0,4443,79,14,11,34.72252307692309
"Census Tract 116, Hunterdon County, New Jersey",116.0,112,1020,172,5126,60,11,32,5,5126,447600.0,5126,469,12,9,50.342938461538466
"Census Tract 1165, Passaic County, New Jersey",1165.0,662,1253,480,7995,110,167,0,24,7884,306800.0,7995,280,15,1,36.2832
"Census Tract 117, Essex County, New Jersey",117.0,800,435,91,3439,0,11,63,85,3411,203400.0,3439,37,18,2,23.305661538461543
"Census Tract 117, Hunterdon County, New Jersey",117.0,139,563,281,3930,57,20,0,0,3906,405400.0,3930,262,12,9,45.26475384615385
"Census Tract 117.01, Atlantic County, New Jersey",117.01,1681,1106,498,9028,0,0,53,90,9028,192300.0,9028,347,21,5,24.433369230769234
"Census Tract 117.02, Atlantic County, New Jersey",117.02,611,199,167,3269,0,0,3,43,3269,106100.0,3269,72,21,4,12.728907692307692
"Census Tract 118, Essex County, New Jersey",118.0,385,203,73,2343,0,0,27,38,2343,201900.0,2343,36,18,4,22.67141538461539
"Census Tract 118, Hunterdon County, New Jersey",118.0,72,567,113,2783,7,57,42,46,2780,392000.0,2783,239,12,2,43.385200000000005
"Census Tract 118.02, Atlantic County, New Jersey",118.02,893,2970,827,16535,76,191,64,159,16535,248200.0,16535,564,21,2,33.44032307692308
"Census Tract 118.03, Atlantic County, New Jersey",118.03,770,677,293,4816,74,12,59,31,4816,186100.0,4816,106,21,7,22.01863076923077
"Census Tract 118.04, Atlantic County, New Jersey",118.04,432,833,358,7042,34,87,0,0,7042,227200.0,7042,330,21,3,27.28524615384616
"Census Tract 118.05, Atlantic County, New Jersey",118.05,401,333,123,2038,11,0,0,0,2038,237100.0,2038,101,21,1,26.39767692307692
"Census Tract 119, Atlantic County, New Jersey",119.0,1842,690,146,8363,73,64,0,50,8289,168100.0,8363,169,21,6,21.43586153846154
"Census Tract 119, Essex County, New Jersey",119.0,447,82,82,1684,0,36,0,12,1684,127100.0,1684,14,18,6,14.365492307692307
"Census Tract 119, Hunterdon County, New Jersey",119.0,278,1068,148,3841,61,201,118,11,3841,365200.0,3841,296,12,2,41.008138461538465
"Census Tract 12, Atlantic County, New Jersey",12.0,1163,117,182,3193,0,31,0,9,3193,170000.0,3193,23,21,4,19.619507692307693
"Census Tract 12, Mercer County, New Jersey",12.0,523,399,124,4212,0,0,0,0,4176,159000.0,4212,104,28,4,18.77493846153846
"Census Tract 12, Middlesex County, New Jersey",12.0,627,805,230,5326,0,150,0,77,5326,329700.0,5326,123,16,2,37.66535384615385
"Census Tract 12.01, Hudson County, New Jersey",12.01,381,667,54,2221,0,53,2,19,2221,342700.0,2221,56,14,16,37.8647076923077
"Census Tract 12.02, Hudson County, New Jersey",12.02,513,272,48,1636,0,6,0,96,1621,278500.0,1636,47,14,16,30.69344615384616
"Census Tract 120, Atlantic County, New Jersey",120.0,1022,406,161,4612,11,17,11,70,4612,138400.0,4612,33,21,6,16.751446153846153
"Census Tract 120, Essex County, New Jersey",120.0,1132,561,411,6332,0,40,0,18,6126,174300.0,6332,70,18,3,21.274892307692312
"Census Tract 120.01, Bergen County, New Jersey",120.01,854,1559,311,5933,0,62,72,79,5933,410500.0,5933,273,20,4,46.77338461538462
"Census Tract 120.02, Bergen County, New Jersey",120.02,155,779,81,3303,23,53,13,80,3303,362500.0,3303,115,20,4,40.39884615384616
"Census Tract 121, Atlantic County, New Jersey",121.0,818,161,99,3148,0,17,11,0,2964,138000.0,3148,71,21,2,16.097784615384615
"Census Tract 121, Essex County, New Jersey",121.0,589,260,118,3845,0,96,0,79,3845,174400.0,3845,74,18,2,20.295723076923082
"Census Tract 122, Atlantic County, New Jersey",122.0,1183,254,67,5128,16,0,148,96,5010,174700.0,5128,85,21,6,20.82749230769231
"Census Tract 122, Essex County, New Jersey",122.0,1139,293,269,5101,0,0,0,0,5101,223200.0,5101,59,18,5,26.068384615384616
"Census Tract 123, Essex County, New Jersey",123.0,895,427,300,4994,0,71,28,43,4982,185900.0,4994,64,18,1,22.02090769230769
"Census Tract 123, Hudson County, New Jersey",123.0,259,372,74,2476,0,74,0,0,2476,306500.0,2476,45,14,5,33.998153846153855
"Census Tract 123.02, Atlantic County, New Jersey",123.02,191,685,179,3383,120,0,7,60,3383,252700.0,3383,118,21,3,28.609030769230774
"Census Tract 124, Essex County, New Jersey",124.0,971,310,256,4376,0,85,0,0,4376,190900.0,4376,35,18,1,22.314861538461543
"Census Tract 124, Hudson County, New Jersey",124.0,170,543,138,2998,150,12,0,0,2978,348200.0,2998,93,14,5,38.715092307692316
"Census Tract 124.01, Atlantic County, New Jersey",124.01,449,324,187,3108,32,0,0,0,2969,219300.0,3108,173,21,6,24.871738461538463
"Census Tract 124.02, Atlantic County, New Jersey",124.02,219,323,156,2046,10,0,23,0,2041,230100.0,2046,44,21,3,25.616276923076924
"Census Tract 1242, Passaic County, New Jersey",1242.0,252,1245,211,7177,60,0,0,0,7177,346600.0,7177,244,15,13,40.18596923076923
"Census Tract 1243.11, Passaic County, New Jersey",1243.11,193,829,329,4650,99,19,4,13,4650,352600.0,4650,204,15,13,39.8799076923077
"Census Tract 1243.12, Passaic County, New Jersey",1243.12,124,1032,183,4549,196,0,15,72,4549,428400.0,4549,183,15,13,48.01220000000001
"Census Tract 1243.21, Passaic County, New Jersey",1243.21,235,1071,436,6005,109,133,16,45,6005,338600.0,6005,132,15,13,38.9014
"Census Tract 1243.22, Passaic County, New Jersey",1243.22,99,938,284,4407,93,27,31,49,4407,332600.0,4407,135,15,13,37.62575384615385
"Census Tract 1243.23, Passaic County, New Jersey",1243.23,184,666,92,2894,48,170,0,123,2894,313600.0,2894,64,15,13,34.972107692307695
"Census Tract 1244.01, Passaic County, New Jersey",1244.01,340,1051,425,6901,16,0,103,43,6901,356000.0,6901,298,15,13,41.13356923076923
"Census Tract 1244.02, Passaic County, New Jersey",1244.02,473,1231,174,5198,74,17,0,0,5198,329100.0,5198,233,15,13,37.61607692307693
"Census Tract 1245, Passaic County, New Jersey",1245.0,732,805,247,5978,31,0,42,0,5978,288800.0,5978,130,15,13,33.497615384615386
"Census Tract 1246.01, Passaic County, New Jersey",1246.01,810,415,285,5243,14,274,0,8,5013,291800.0,5243,81,15,13,33.48038461538462
"Census Tract 1246.02, Passaic County, New Jersey",1246.02,419,675,212,5078,86,4,10,26,5078,331100.0,5078,107,15,13,37.672692307692316
"Census Tract 1247, Passaic County, New Jersey",1247.0,650,587,179,6144,33,75,8,0,6117,287400.0,6144,88,15,4,33.34026153846154
"Census Tract 1248, Passaic County, New Jersey",1248.0,625,479,186,4914,20,5,35,0,4893,299100.0,4914,186,15,13,34.169907692307696
"Census Tract 1249, Passaic County, New Jersey",1249.0,554,476,227,5449,40,44,14,8,5449,287500.0,5449,83,15,13,33.0873076923077
"Census Tract 125, Essex County, New Jersey",125.0,1002,345,143,3800,17,53,0,53,3800,206400.0,3800,42,18,4,23.77578461538462
"Census Tract 125, Hudson County, New Jersey",125.0,292,726,88,4660,58,49,0,0,4660,328600.0,4660,124,14,5,37.23381538461539
"Census Tract 125.01, Atlantic County, New Jersey",125.01,14,416,98,2750,5,0,20,42,2586,271500.0,2750,110,21,1,30.302046153846156
"Census Tract 125.02, Atlantic County, New Jersey",125.02,24,275,50,1523,0,0,0,21,1509,269600.0,1523,104,21,5,29.653938461538463
"Census Tract 1250, Passaic County, New Jersey",1250.0,1143,555,182,6838,0,211,23,0,6838,275700.0,6838,141,15,13,32.39973846153846
"Census Tract 1251, Passaic County, New Jersey",1251.0,583,216,157,4153,20,23,0,0,4153,266700.0,4153,87,15,13,30.338246153846153
"Census Tract 126, Essex County, New Jersey",126.0,936,141,101,3065,39,150,0,0,3065,166000.0,3065,18,18,7,19.117769230769234
"Census Tract 126, Hudson County, New Jersey",126.0,440,532,91,3534,11,28,8,23,3534,298200.0,3534,84,14,2,33.53535384615385
"Census Tract 126.02, Atlantic County, New Jersey",126.02,17,311,104,1407,39,16,0,0,1407,300000.0,1407,89,21,6,32.900153846153856
"Census Tract 127, Essex County, New Jersey",127.0,482,155,240,4472,44,62,32,0,4472,172500.0,4472,46,18,4,20.29446153846154
"Census Tract 127, Hudson County, New Jersey",127.0,507,522,220,6035,25,76,10,28,5203,293400.0,6035,209,14,4,33.83786153846154
"Census Tract 127.01, Atlantic County, New Jersey",127.01,219,359,117,3303,8,17,0,7,3303,221300.0,3303,82,21,4,25.123553846153847
"Census Tract 127.02, Atlantic County, New Jersey",127.02,349,167,99,1774,67,0,13,10,1774,228700.0,1774,36,21,1,25.352676923076924
"Census Tract 128, Essex County, New Jersey",128.0,573,258,266,3336,0,2,53,0,3336,165900.0,3336,43,18,4,19.205476923076926
"Census Tract 128, Hudson County, New Jersey",128.0,368,365,127,4230,28,104,20,197,4230,306000.0,4230,211,14,1,34.64410769230769
"Census Tract 128.01, Atlantic County, New Jersey",128.01,616,464,49,4061,0,320,43,9,3987,204100.0,4061,173,21,6,23.621246153846155
"Census Tract 128.02, Atlantic County, New Jersey",128.02,180,265,153,1548,0,12,5,9,1548,222300.0,1548,112,21,1,24.6046
"Census Tract 129, Essex County, New Jersey",129.0,1439,231,112,3784,0,0,0,22,3784,167500.0,3784,91,18,4,19.612246153846158
"Census Tract 129, Hudson County, New Jersey",129.0,819,361,169,4068,18,0,13,101,3962,322000.0,4068,132,14,6,36.31395384615385
"Census Tract 13, Atlantic County, New Jersey",13.0,348,135,105,1653,4,14,2,0,1653,204500.0,1653,8,21,4,22.687969230769234
"Census Tract 13, Essex County, New Jersey",13.0,477,140,102,1765,0,9,7,15,1765,0.0,1765,31,18,11,0.7250923076923076
"Census Tract 13, Hudson County, New Jersey",13.0,755,570,67,2924,0,17,49,57,2744,292500.0,2924,134,14,6,32.730384615384615
"Census Tract 13, Mercer County, New Jersey",13.0,347,495,132,4584,16,111,86,0,3173,205300.0,4584,99,28,3,23.690030769230773
"Census Tract 13, Middlesex County, New Jersey",13.0,558,848,83,4483,32,243,0,135,4483,356800.0,4483,259,16,3,40.30892307692308
"Census Tract 130, Atlantic County, New Jersey",130.0,312,805,222,3285,10,10,62,0,3285,478500.0,3285,157,21,6,52.933123076923074
"Census Tract 130, Essex County, New Jersey",130.0,335,274,71,1982,0,0,0,153,1982,0.0,1982,56,18,4,0.8164769230769231
"Census Tract 130, Hudson County, New Jersey",130.0,419,256,133,3639,0,70,11,31,3639,306200.0,3639,56,14,3,34.39104615384616
"Census Tract 130.01, Bergen County, New Jersey",130.01,473,2604,153,6526,0,308,0,247,6526,617000.0,6526,166,20,1,69.31016923076925
"Census Tract 130.02, Bergen County, New Jersey",130.02,297,1544,210,5472,70,81,0,455,5472,477900.0,5472,303,20,6,53.82292307692308
"Census Tract 131, Essex County, New Jersey",131.0,694,81,75,1940,0,51,6,0,1940,179700.0,1940,25,18,5,20.14949230769231
"Census Tract 131, Hudson County, New Jersey",131.0,379,225,99,2298,0,58,156,0,2298,314000.0,2298,9,14,2,34.73621538461539
"Census Tract 131.01, Atlantic County, New Jersey",131.01,18,357,44,1240,10,0,11,0,1240,597000.0,1240,69,21,1,64.81630769230772
"Census Tract 131.02, Atlantic County, New Jersey",131.02,252,269,73,1725,18,61,46,17,1725,353600.0,1725,74,21,1,38.800492307692316
"Census Tract 132, Essex County, New Jersey",132.0,719,132,84,2245,0,0,0,20,2245,157600.0,2245,21,18,2,17.886015384615387
"Census Tract 132, Hudson County, New Jersey",132.0,741,438,101,4783,0,11,0,43,4773,286700.0,4783,163,14,6,32.77647692307693
"Census Tract 132.01, Atlantic County, New Jersey",132.01,860,394,72,3275,20,8,9,71,3275,331500.0,3275,51,21,4,37.0454
"Census Tract 132.02, Atlantic County, New Jersey",132.02,305,318,126,2327,0,0,63,12,2327,209500.0,2327,35,21,1,23.50212307692308
